"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES"
"BC000068234","1983-09","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","22",",Q","19830918","+,,Q","38.0",",Q,18,+","34.42",",,,Q"
"BC000068234","1983-10","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","25",",Q","19831004",",,Q","39.0",",Q,04,","34.39",",,,Q"
"BC000068234","1983-12","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","5",",Q","19831216",",,Q","33.5",",Q,16,","29.62",",,,Q"
"BC000068234","1984-01","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","15",",Q","19840125",",,Q","35.8",",Q,25,","31.97",",,,Q"
"BC000068234","1984-02","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","29",",Q","11",",Q","19840217",",,Q","36.0",",Q,17,","31.16",",,,Q"
"BC000068234","1984-03","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","12",",Q","19840303",",,Q","36.4",",Q,03,","31.57",",,,Q"
"BC000068234","1984-04","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","5",",Q","19840417",",,Q","33.0",",Q,17,","30.08",",,,Q"
"BC000068234","1984-05","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","3",",Q","19840508",",,Q","32.7",",Q,08,","29.71",",,,Q"
"BC000068234","1984-06","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","29",",Q","0",",Q","19840605",",,Q","29.0",",Q,05,","25.99",",,,Q"
"BC000068234","1984-07","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19840730",",,Q","29.7",",Q,30,","26.55",",,,Q"
"BC000068234","1984-08","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","6",",Q","19840829","+,,Q","33.0",",Q,29,+","29.33",",,,Q"
"BC000068234","1984-09","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","27",",Q","19840911",",,Q","37.0",",Q,11,","34.34",",,,Q"
"BC000068234","1984-10","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","27",",Q","19841021",",,Q","37.0",",Q,21,","34.59",",,,Q"
"BC000068234","1984-11","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","15",",Q","19841118",",,Q","37.1",",Q,18,","30.85",",,,Q"
"BC000068234","1984-12","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","15",",Q","19841213",",,Q","35.0",",Q,13,","31.93",",,,Q"
"BC000068234","1985-01","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","14",",Q","19850118",",,Q","36.6",",Q,18,","31.16",",,,Q"
"BC000068234","1985-03","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","10",",Q","19850302",",,Q","34.0",",Q,02,","31.82",",,,Q"
"BC000068234","1985-04","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","4",",Q","19850425",",,Q","32.7",",Q,25,","30.44",",,,Q"
"BC000068234","1985-05","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19850501",",,Q","31.7",",Q,01,","28.41",",,,Q"
"BC000068234","1985-07","-24.6","24.667","1189.0","JWANENG, BC","0","1,Q","27","1,Q","0","1,Q","19850727",",1,Q","30.0","1,Q,27,","26.16","1,,,Q"
"BC000068234","1985-08","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19850810",",,Q","31.9",",Q,10,","28.24",",,,Q"
"BC000068234","1985-09","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","22",",Q","19850926","+,,Q","36.0",",Q,26,+","33.28",",,,Q"
"BC000068234","1985-10","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","22",",Q","19851028",",,Q","38.9",",Q,28,","33.59",",,,Q"
"BC000068234","1985-11","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","27",",Q","19851105",",,Q","37.5",",Q,05,","34.57",",,,Q"
"BC000068234","1985-12","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","14",",Q","19851210",",,Q","36.5",",Q,10,","30.90",",,,Q"
"BC000068234","1986-01","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","2",",Q","19860116",",,Q","32.5",",Q,16,","29.49",",,,Q"
"BC000068234","1986-02","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","28",",Q","3",",Q","19860225","+,,Q","34.0",",Q,25,+","29.96",",,,Q"
"BC000068234","1986-03","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","1",",Q","19860312",",,Q","32.5",",Q,12,","29.84",",,,Q"
"BC000068234","1986-04","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","8",",Q","19860416",",,Q","34.5",",Q,16,","29.18",",,,Q"
"BC000068234","1986-05","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19860505",",,Q","29.5",",Q,05,","27.55",",,,Q"
"BC000068234","1986-06","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","0",",Q","19860603",",,Q","30.5",",Q,03,","25.41",",,,Q"
"BC000068234","1986-07","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19860717","+,,Q","30.0",",Q,17,+","25.97",",,,Q"
"BC000068234","1986-08","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","4",",Q","19860829","+,,Q","33.0",",Q,29,+","30.06",",,,Q"
"BC000068234","1986-09","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","19",",Q","19860925",",,Q","36.7",",Q,25,","32.39",",,,Q"
"BC000068234","1986-10","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","16",",Q","19861006",",,Q","37.4",",Q,06,","31.99",",,,Q"
"BC000068234","1986-11","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","15",",Q","19861118",",,Q","35.5",",Q,18,","31.91",",,,Q"
"BC000068234","1986-12","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","15",",Q","19861225",",,Q","37.1",",Q,25,","31.65",",,,Q"
"BC000068234","1987-01","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","22",",Q","19870109",",,Q","37.2",",Q,09,","33.06",",,,Q"
"BC000068234","1987-02","-24.6","24.667","1189.0","JWANENG, BC","0","1,Q","27","1,Q","20","1,Q","19870223",",1,Q","36.8","1,Q,23,","33.72","1,,,Q"
"BC000068234","1987-03","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","23",",Q","19870307",",,Q","36.4",",Q,07,","33.32",",,,Q"
"BC000068234","1987-04","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","20",",Q","19870406",",,Q","35.8",",Q,06,","33.23",",,,Q"
"BC000068234","1987-05","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","9",",Q","19870518","+,,Q","33.5",",Q,18,+","29.99",",,,Q"
"BC000068234","1987-06","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","28",",Q","0",",Q","19870607",",,Q","29.8",",Q,07,","25.83",",,,Q"
"BC000068234","1987-07","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19870730",",,Q","30.6",",Q,30,","25.84",",,,Q"
"BC000068234","1987-08","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","5",",Q","19870831",",,Q","33.3",",Q,31,","29.60",",,,Q"
"BC000068234","1987-09","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","24",",Q","19870926",",,Q","37.7",",Q,26,","33.96",",,,Q"
"BC000068234","1987-10","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","27",",Q","19871012",",,Q","38.4",",Q,12,","34.72",",,,Q"
"BC000068234","1987-11","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","25",",Q","19871117",",,Q","40.7",",Q,17,","35.72",",,,Q"
"BC000068234","1987-12","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","5",",Q","19871222",",,Q","33.2",",Q,22,","29.75",",,,Q"
"BC000068234","1988-01","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","15",",Q","19880131","+,,Q","35.5",",Q,31,+","32.21",",,,Q"
"BC000068234","1988-02","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","29",",Q","8",",Q","19880207",",,Q","35.2",",Q,07,","30.34",",,,Q"
"BC000068234","1988-03","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","2",",Q","19880314",",,Q","32.7",",Q,14,","29.55",",,,Q"
"BC000068234","1988-04","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","2",",Q","19880404",",,Q","32.7",",Q,04,","30.27",",,,Q"
"BC000068234","1988-05","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","0",",Q","19880530","+,,Q","30.0",",Q,30,+","27.50",",,,Q"
"BC000068234","1988-06","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","0",",Q","19880607",",,Q","30.2",",Q,07,","26.23",",,,Q"
"BC000068234","1988-07","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","0",",Q","19880721",",,Q","29.4",",Q,21,","26.09",",,,Q"
"BC000068234","1988-08","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","6",",Q","19880831",",,Q","35.0",",Q,31,","29.46",",,,Q"
"BC000068234","1988-09","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","20",",Q","19880927",",,Q","36.5",",Q,27,","32.85",",,,Q"
"BC000068234","1988-10","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","26",",Q","19881018",",,Q","38.4",",Q,18,","34.74",",,,Q"
"BC000068234","1988-11","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","30",",Q","22",",Q","19881126",",,Q","37.7",",Q,26,","33.58",",,,Q"
"BC000068234","1988-12","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","14",",Q","19881227",",,Q","35.5",",Q,27,","30.60",",,,Q"
"BC000068234","1990-01","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","31",",Q","4",",Q","19900121",",,Q","33.4",",Q,21,","29.45",",,,Q"
"BC000068234","1990-02","-24.6","24.667","1189.0","JWANENG, BC","0",",Q","28",",Q","3",",Q","19900220",",,Q","33.1",",Q,20,","29.92",",,,Q"
