"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BFW00012716","1956-01","24.063275","-74.523967","7.3","SAN SALVADOR, BF","84.3","X","84.3","1,X","3",",X","1",",X","0",",X","0",",X","0",",X","0","1,X","0","1,X","0","1,X","29","1,X","0","1,X","19560119",",1,X","19560131","+,,X","19560131","+,,X","","","19560111",",,X","19560125","+,1,X","13.9","1,X,19,","0",",,X,31,+","0",",,X,31,+","12.2",",,X,11,","26.7","1,X,25,+","","","0.0","1,X","13.0",",,,X","0",",,,X","21.14","1,X","23.87","1,,,X","18.42","1,,,X"
"BFW00012716","1956-02","24.063275","-74.523967","7.3","SAN SALVADOR, BF","219.1","X","134.8",",X","9",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","29",",X","0",",X","19560227",",,X","19560229","+,,X","19560229","+,,X","","","19560214",",,X","19560212",",,X","17.2",",X,27,","0",",,X,29,+","0",",,X,29,+","7.9",",,X,14,","28.3",",X,12,","","","0.0",",X","16.2",",,,X","0",",,,X","22.98",",X","25.98",",,,X","19.98",",,,X"
"BFW00012716","1956-03","24.063275","-74.523967","7.3","SAN SALVADOR, BF","355.6","X","136.5",",X","6",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","19560327",",,X","19560331","+,,X","19560331","+,,X","1","","19560323",",,X","19560316","+,,X","14.4",",X,27,","0",",,X,31,+","0",",,X,31,+","7.6",",,X,23,","27.8",",X,16,+","","","0.0",",X","26.5",",,,X","0",",,,X","22.74",",X","26.01",",,,X","19.47",",,,X"
"BFW00012716","1956-04","24.063275","-74.523967","7.3","SAN SALVADOR, BF","512.6","X","157.0",",X","3",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","19560419",",,X","19560430","+,,X","19560430","+,,X","1","","19560417",",,X","19560428",",,X","15.6",",X,19,","0",",,X,30,+","0",",,X,30,+","11.9",",,X,17,","28.9",",X,28,","","","0.0",",X","14.2",",,,X","0",",,,X","23.57",",X","26.69",",,,X","20.44",",,,X"
"BFW00012716","1956-05","24.063275","-74.523967","7.3","SAN SALVADOR, BF","735.8","X","223.2",",X","9",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","19560515",",,X","19560531","+,,X","19560531","+,,X","1","","19560521",",,X","19560524","+,,X","19.4",",X,15,","0",",,X,31,+","0",",,X,31,+","7.1",",,X,21,","29.4",",X,24,+","","","0.0",",X","17.7",",,,X","0",",,,X","25.53",",X","28.49",",,,X","22.58",",,,X"
"BFW00012716","1956-06","24.063275","-74.523967","7.3","SAN SALVADOR, BF","986.8","X","251.0",",X","13",",X","8",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","19560608","+,,X","19560630","+,,X","19560630","+,,X","4","","19560608",",,X","19560630","+,,X","21.7",",X,08,+","0",",,X,30,+","0",",,X,30,+","74.2",",,X,08,","30.6",",X,30,+","","","0.0",",X","194.9",",,,X","0",",,,X","26.70",",X","29.21",",,,X","24.19",",,,X"
"BFW00012716","1956-07","24.063275","-74.523967","7.3","SAN SALVADOR, BF","1287.5","X","300.7",",X","7",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","0",",X","19560731","+,,X","19560731","+,,X","19560731","+,,X","","","19560723",",,X","19560731","+,,X","23.9",",X,31,+","0",",,X,31,+","0",",,X,31,+","2.5",",,X,23,","31.7",",X,31,+","0.0","X","0.0",",X","8.4",",,,X","0",",,,X","28.03",",X","30.95",",,,X","25.12",",,,X"
"BFW00012716","1956-08","24.063275","-74.523967","7.3","SAN SALVADOR, BF","1603.9","X","316.4",",X","4",",X","4",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","17",",X","19560819","+,,X","19560831","+,,X","19560831","+,,X","2","","19560813",",,X","19560826","+,,X","23.3",",X,19,+","0",",,X,31,+","0",",,X,31,+","137.4",",,X,13,","33.3",",X,26,+","0.0","X","0.0",",X","182.2",",,,X","0",",,,X","28.54",",X","31.94",",,,X","25.14",",,,X"
"BFW00012716","1956-09","24.063275","-74.523967","7.3","SAN SALVADOR, BF","1889.2","X","285.3",",X","20",",X","11",",X","3",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","9",",X","19560919",",,X","19560930","+,,X","19560930","+,,X","9","","19560919",",,X","19560914","+,,X","22.2",",X,19,","0",",,X,30,+","0",",,X,30,+","104.4",",,X,19,","32.8",",X,14,+","0.0","X","0.0",",X","248.4",",,,X","0",",,,X","27.84",",X","31.21",",,,X","24.47",",,,X"
"BFW00012716","1956-10","24.063275","-74.523967","7.3","SAN SALVADOR, BF","2148.5","X","259.3",",X","16",",X","10",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","4",",X","19561013",",,X","19561031","+,,X","19561031","+,,X","6","","19561031",",,X","19561008","+,,X","21.7",",X,13,","0",",,X,31,+","0",",,X,31,+","118.6",",,X,31,","32.8",",X,08,+","0.0","X","0.0",",X","311.3",",,,X","0",",,,X","26.70",",X","29.64",",,,X","23.76",",,,X"
"BFW00012716","1956-11","24.063275","-74.523967","7.3","SAN SALVADOR, BF","2332.2","X","183.7",",X","15",",X","5",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","0",",X","19561128",",,X","19561130","+,,X","19561130","+,,X","","","19561114",",,X","19561121","+,,X","19.4",",X,28,","0",",,X,30,+","0",",,X,30,+","39.1",",,X,14,","29.4",",X,21,+","0.0","X","0.0",",X","94.5",",,,X","0",",,,X","24.46",",X","27.02",",,,X","21.89",",,,X"
"BFW00012716","1956-12","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","19561231","+,,X","19561231","+,,X","","","","","","","","","0",",,X,31,+","0",",,X,31,+","","","","","","","","","","","0",",,,X","","","","","",""
"BFW00012716","1957-01","24.063275","-74.523967","7.3","SAN SALVADOR, BF","147.6","","147.6","1,X","4","1,X","2","1,X","0","1,X","0",",X","0",",X","0","1,X","0","1,X","0","1,X","30","1,X","0","1,X","19570107",",1,X","19570131","+,,X","19570131","+,,X","","","19570119",",1,X","19570123",",1,X","15.6","1,X,07,","0",",,X,31,+","0",",,X,31,+","6.4","1,,X,19,","28.3","1,X,23,","","","0.0","1,X","13.5","1,,,X","0",",,,X","23.25","1,X","26.34","1,,,X","20.17","1,,,X"
"BFW00012716","1957-02","24.063275","-74.523967","7.3","SAN SALVADOR, BF","296.8","","149.2",",X","7",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","0",",X","19570215","+,,X","19570228","+,,X","19570228","+,,X","1","","19570226",",,X","19570228","+,,X","16.7",",X,15,+","0",",,X,28,+","0",",,X,28,+","7.9",",,X,26,","27.8",",X,28,+","","","0.0",",X","16.6",",,,X","0",",,,X","23.66",",X","26.73",",,,X","20.60",",,,X"
"BFW00012716","1957-03","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","5",",X","1",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19570331","+,,X","19570331","+,,X","","","19570308",",,X","","","","","0",",,X,31,+","0",",,X,31,+","25.9",",,X,08,","","","","","","","30.5",",,,X","0",",,,X","","","","","",""
"BFW00012716","1957-04","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","12",",X","3",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19570430","+,,X","19570430","+,,X","","","19570414",",,X","","","","","0",",,X,30,+","0",",,X,30,+","11.4",",,X,14,","","","","","","","30.6",",,,X","0",",,,X","","","","","",""
"BFW00012716","1957-05","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","16",",X","11",",X","4",",X","0",",X","0",",X","","","","","","","","","","","","","19570531","+,,X","19570531","+,,X","","","19570502",",,X","","","","","0",",,X,31,+","0",",,X,31,+","52.8",",,X,02,","","","","","","","232.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1957-06","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","10",",X","5",",X","2",",X","0",",X","0",",X","","","","","","","","","","","","","19570630","+,,X","19570630","+,,X","","","19570602",",,X","","","","","0",",,X,30,+","0",",,X,30,+","76.2",",,X,02,","","","","","","","166.7",",,,X","0",",,,X","","","","","",""
"BFW00012716","1957-07","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","8",",X","6",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19570731","+,,X","19570731","+,,X","","","19570711",",,X","","","","","0",",,X,31,+","0",",,X,31,+","18.8",",,X,11,","","","","","","","47.9",",,,X","0",",,,X","","","","","",""
"BFW00012716","1957-08","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","19570831","+,,X","19570831","+,,X","","","","","","","","","0",",,X,31,+","0",",,X,31,+","","","","","","","","","","","0",",,,X","","","","","",""
"BFW00012716","1957-09","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","","","","","","","0",",X","0",",X","","","","","","","","","","","","","19570930","+,,X","19570930","+,,X","","","","","","","","","0",",,X,30,+","0",",,X,30,+","","","","","","","","","","","0",",,,X","","","","","",""
"BFW00012716","1957-10","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","21",",X","16",",X","2",",X","0",",X","0",",X","","","","","","","","","","","","","19571031","+,,X","19571031","+,,X","","","19571012",",,X","","","","","0",",,X,31,+","0",",,X,31,+","80.5",",,X,12,","","","","","","","240.7",",,,X","0",",,,X","","","","","",""
"BFW00012716","1957-11","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","8",",X","1",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19571130","+,,X","19571130","+,,X","","","19571111",",,X","","","","","0",",,X,30,+","0",",,X,30,+","6.4",",,X,11,","","","","","","","13.1",",,,X","0",",,,X","","","","","",""
"BFW00012716","1957-12","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","12",",X","6",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19571231","+,,X","19571231","+,,X","","","19571217",",,X","","","","","0",",,X,31,+","0",",,X,31,+","25.9",",,X,17,","","","","","","","76.6",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-01","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","12",",X","6",",X","3",",X","0",",X","0",",X","","","","","","","","","","","","","19580131","+,,X","19580131","+,,X","","","19580114",",,X","","","","","0",",,X,31,+","0",",,X,31,+","84.8",",,X,14,","","","","","","","172.1",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-02","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","2",",X","2",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19580228","+,,X","19580228","+,,X","","","19580211","+,,X","","","","","0",",,X,28,+","0",",,X,28,+","9.1",",,X,11,+","","","","","","","18.2",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-03","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","5",",X","2",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19580331","+,,X","19580331","+,,X","","","19580327",",,X","","","","","0",",,X,31,+","0",",,X,31,+","10.7",",,X,27,","","","","","","","19.1",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-04","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","7",",X","6",",X","2",",X","0",",X","0",",X","","","","","","","","","","","","","19580430","+,,X","19580430","+,,X","","","19580429",",,X","","","","","0",",,X,30,+","0",",,X,30,+","100.8",",,X,29,","","","","","","","212.3",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-05","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","11",",X","8",",X","3",",X","0",",X","0",",X","","","","","","","","","","","","","19580531","+,,X","19580531","+,,X","","","19580523",",,X","","","","","0",",,X,31,+","0",",,X,31,+","64.8",",,X,23,","","","","","","","182.5",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-06","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","8",",X","2",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19580630","+,,X","19580630","+,,X","","","19580610",",,X","","","","","0",",,X,30,+","0",",,X,30,+","9.4",",,X,10,","","","","","","","17.9",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-07","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","13",",X","3",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19580731","+,,X","19580731","+,,X","","","19580709",",,X","","","","","0",",,X,31,+","0",",,X,31,+","30.5",",,X,09,","","","","","","","50.0",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-08","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","11",",X","9",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19580831","+,,X","19580831","+,,X","","","19580825",",,X","","","","","0",",,X,31,+","0",",,X,31,+","26.4",",,X,25,","","","","","","","95.9",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-09","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","19",",X","8",",X","3",",X","0",",X","0",",X","","","","","","","","","","","","","19580930","+,,X","19580930","+,,X","","","19580917",",,X","","","","","0",",,X,30,+","0",",,X,30,+","52.1",",,X,17,","","","","","","","156.4",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-10","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","20",",X","16",",X","4",",X","0",",X","0",",X","","","","","","","","","","","","","19581031","+,,X","19581031","+,,X","","","19581006",",,X","","","","","0",",,X,31,+","0",",,X,31,+","121.9",",,X,06,","","","","","","","392.4",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-11","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","6",",X","4",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19581130","+,,X","19581130","+,,X","","","19581124",",,X","","","","","0",",,X,30,+","0",",,X,30,+","21.1",",,X,24,","","","","","","","57.7",",,,X","0",",,,X","","","","","",""
"BFW00012716","1958-12","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","10",",X","3",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19581231","+,,X","19581231","+,,X","","","19581228",",,X","","","","","0",",,X,31,+","0",",,X,31,+","80.8",",,X,28,","","","","","","","104.3",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-01","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","5",",X","1",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19590131","+,,X","19590131","+,,X","","","19590117",",,X","","","","","0",",,X,31,+","0",",,X,31,+","12.4",",,X,17,","","","","","","","15.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-02","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","5",",X","0",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19590228","+,,X","19590228","+,,X","","","19590212",",,X","","","","","0",",,X,28,+","0",",,X,28,+","1.5",",,X,12,","","","","","","","4.2",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-03","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","13",",X","7",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19590331","+,,X","19590331","+,,X","","","19590304",",,X","","","","","0",",,X,31,+","0",",,X,31,+","16.5",",,X,04,","","","","","","","58.5",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-04","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","5",",X","1",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19590430","+,,X","19590430","+,,X","","","19590412",",,X","","","","","0",",,X,30,+","0",",,X,30,+","3.6",",,X,12,","","","","","","","8.0",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-05","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","9",",X","2",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19590531","+,,X","19590531","+,,X","","","19590527",",,X","","","","","0",",,X,31,+","0",",,X,31,+","6.4",",,X,27,","","","","","","","12.6",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-06","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","14",",X","8",",X","3",",X","0",",X","0",",X","","","","","","","","","","","","","19590630","+,,X","19590630","+,,X","","","19590608",",,X","","","","","0",",,X,30,+","0",",,X,30,+","54.4",",,X,08,","","","","","","","147.4",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-07","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","16",",X","6",",X","2",",X","0",",X","0",",X","","","","","","","","","","","","","19590731","+,,X","19590731","+,,X","","","19590716",",,X","","","","","0",",,X,31,+","0",",,X,31,+","83.6",",,X,16,","","","","","","","203.6",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-08","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","15",",X","9",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19590831","+,,X","19590831","+,,X","","","19590830",",,X","","","","","0",",,X,31,+","0",",,X,31,+","47.5",",,X,30,","","","","","","","111.9",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-09","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","16",",X","8",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19590930","+,,X","19590930","+,,X","","","19590911",",,X","","","","","0",",,X,30,+","0",",,X,30,+","20.6",",,X,11,","","","","","","","74.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-10","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","19",",X","9",",X","2",",X","0",",X","0",",X","","","","","","","","","","","","","19591031","+,,X","19591031","+,,X","","","19591009",",,X","","","","","0",",,X,31,+","0",",,X,31,+","112.3",",,X,09,","","","","","","","198.2",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-11","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","20",",X","11",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19591130","+,,X","19591130","+,,X","","","19591110",",,X","","","","","0",",,X,30,+","0",",,X,30,+","47.0",",,X,10,","","","","","","","135.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1959-12","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","14",",X","7",",X","1",",X","0",",X","0",",X","","","","","","","","","","","","","19591231","+,,X","19591231","+,,X","","","19591224",",,X","","","","","0",",,X,31,+","0",",,X,31,+","88.9",",,X,24,","","","","","","","131.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1960-01","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","7",",X","2",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19600131","+,,X","19600131","+,,X","","","19600131",",,X","","","","","0",",,X,31,+","0",",,X,31,+","16.5",",,X,31,","","","","","","","30.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1960-02","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","1",",X","1",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19600229","+,,X","19600229","+,,X","","","19600211",",,X","","","","","0",",,X,29,+","0",",,X,29,+","14.0",",,X,11,","","","","","","","14.0",",,,X","0",",,,X","","","","","",""
"BFW00012716","1960-03","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","2",",X","1",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19600331","+,,X","19600331","+,,X","","","19600304",",,X","","","","","0",",,X,31,+","0",",,X,31,+","2.5",",,X,04,","","","","","","","2.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1960-04","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","7",",X","3",",X","0",",X","0",",X","0",",X","","","","","","","","","","","","","19600430","+,,X","19600430","+,,X","","","19600427",",,X","","","","","0",",,X,30,+","0",",,X,30,+","22.1",",,X,27,","","","","","","","36.8",",,,X","0",",,,X","","","","","",""
"BFW00012716","1960-05","24.063275","-74.523967","7.3","SAN SALVADOR, BF","","","","","10",",X","4",",X","2",",X","0",",X","0",",X","","","","","","","","","","","","","19600531","+,,X","19600531","+,,X","","","19600513",",,X","","","","","0",",,X,31,+","0",",,X,31,+","46.7",",,X,13,","","","","","","","92.5",",,,X","0",",,,X","","","","","",""
