,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HN03,HN03_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,HX03,HX03_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LN03,LN03_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,LX03,LX03_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MN03,MN03_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,MX03,MX03_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,HN04,HN04_ATTRIBUTES,HN05,HN05_ATTRIBUTES,HX04,HX04_ATTRIBUTES,HX05,HX05_ATTRIBUTES,LN04,LN04_ATTRIBUTES,LN05,LN05_ATTRIBUTES,LX04,LX04_ATTRIBUTES,LX05,LX05_ATTRIBUTES,MN04,MN04_ATTRIBUTES,MN05,MN05_ATTRIBUTES,MX04,MX04_ATTRIBUTES,MX05,MX05_ATTRIBUTES,HN06,HN06_ATTRIBUTES,HX06,HX06_ATTRIBUTES,LN06,LN06_ATTRIBUTES,LX06,LX06_ATTRIBUTES,MN06,MN06_ATTRIBUTES,MX06,MX06_ATTRIBUTES,HN07,HN07_ATTRIBUTES,HN08,HN08_ATTRIBUTES,HX07,HX07_ATTRIBUTES,HX08,HX08_ATTRIBUTES,LN07,LN07_ATTRIBUTES,LN08,LN08_ATTRIBUTES,LX07,LX07_ATTRIBUTES,LX08,LX08_ATTRIBUTES,MN07,MN07_ATTRIBUTES,MN08,MN08_ATTRIBUTES,MX07,MX07_ATTRIBUTES,MX08,MX08_ATTRIBUTES
10,US1TXVC0029,2013-01,28.7476348876953,-97.1129150390625,29.3,"VICTORIA 9.5 SW, TX US",13.0,"2,N",6.0,"2,N",1.0,"2,N",,,,,20130109.0,",2,N",,,104.1,"2,,N,09,",136.6,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,US1TXVC0030,2020-05,28.80765,-96.98177,30.5,"VICTORIA 1.1 S, TX US",,,,,,,,,,,,,,,,,118.4,"4,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,US1TXVC0033,2013-03,29.073329,-96.9716849,53.3,"VICTORIA 17.2 N, TX US",6.0,",N",1.0,",N",0.0,",N",,,,,20130310.0,",,N",,,7.6,",,N,10,",9.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,US1TXVC0034,2013-05,28.74225,-97.0267686992884,18.6,"VICTORIA 6.4 SSW, TX US",4.0,",N",2.0,",N",1.0,",N",0.0,"4,N",20130531.0,"+,4,N",20130526.0,",,N",0.0,"4,,N,31,+",164.3,",,N,26,",168.6,",,,N",0.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,US1TXVC0035,2013-05,28.8589839935303,-97.0047378540039,30.2,"VICTORIA 2.7 NNW, TX US",8.0,"1,N",3.0,"1,N",1.0,"1,N",,,,,20130525.0,",1,N",,,53.3,"1,,N,25,",67.0,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,US1TXVC0037,2013-06,28.860295,-96.787646,16.8,"INEZ 1.1 SSE, TX US",6.0,"5,N",2.0,"5,N",0.0,"5,N",,,,,20130603.0,",5,N",,,15.2,"5,,N,03,",28.5,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,US1TXVC0038,2013-07,28.8315448760986,-96.9857711791992,30.5,"VICTORIA 0.5 NNW, TX US",11.0,",N",7.0,",N",2.0,",N",,,,,20130708.0,",,N",,,28.4,",,N,08,",112.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,US1TXVC0039,2013-10,28.8204078674316,-96.977409362793,30.2,"VICTORIA 0.4 SE, TX US",8.0,"4,N",6.0,"4,N",1.0,"4,N",,,,,20131014.0,",4,N",,,59.2,"4,,N,14,",97.1,"2,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,US1TXVC0041,2014-03,28.847777,-97.00642,29.6,"VICTORIA 2.2 NW, TX US",10.0,"5,N",6.0,"5,N",0.0,"5,N",,,,,20140304.0,",5,N",,,14.2,"5,,N,04,",51.4,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,US1TXVC0043,2014-04,28.8343448638916,-96.9569702148438,30.8,"VICTORIA 1.7 ENE, TX US",,,,,,,,,,,,,,,,,13.0,"5,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,US1TXVC0044,2014-09,28.838994,-96.973326,32.3,"VICTORIA 1.2 NNE, TX US",15.0,",N",11.0,",N",0.0,",N",,,,,20140905.0,",,N",,,22.4,",,N,05,",115.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,US1TXVC0049,2015-11,28.811458,-96.984062,30.5,"VICTORIA 0.9 S, TX US",15.0,"3,N",7.0,"3,N",0.0,"3,N",,,,,20151108.0,",3,N",,,14.7,"3,,N,08,",65.7,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,US1TXVC0051,2018-05,28.885349,-97.012374,37.5,"VICTORIA 4.6 NNW, TX US",4.0,",N",1.0,",N",0.0,",N",,,,,20180521.0,",,N",,,2.8,",,N,21,",4.1,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,US1TXVC0052,2018-07,28.690228,-97.155816,34.1,"VICTORIA 14.0 SW, TX US",,,,,,,,,,,,,,,,,60.0,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,US1TXVC0055,2020-05,28.832185,-96.949439,29.6,"VICTORIA 2.1 ENE, TX US",8.0,"1,N",5.0,"1,N",2.0,"1,N",,,,,20200513.0,",1,N",,,44.2,"1,,N,13,",121.5,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,US1TXVC0056,2020-05,28.84478,-96.99127,32.0,"VICTORIA 1.5 NNW, TX US",6.0,"5,N",6.0,"5,N",3.0,"5,N",,,,,20200525.0,",5,N",,,45.7,"5,,N,25,",134.6,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,US1TXVC0057,2020-05,28.730543,-97.131323,27.4,"VICTORIA 11.1 SW, TX US",8.0,"2,N",8.0,"2,N",1.0,"2,N",,,,,20200525.0,",2,N",,,36.6,"2,,N,25,",110.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,US1TXVC0061,2021-06,28.8583115,-97.0085355,29.6,"VICTORIA 3.6 N, TX US",13.0,",N",8.0,",N",4.0,",N",,,,,20210606.0,",,N",,,41.4,",,N,06,",175.7,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,US1TXVC0062,2022-01,28.8120523,-97.0753463,36.9,"VICTORIA 5.7 W, TX US",5.0,",N",3.0,",N",0.0,",N",,,,,20220125.0,",,N",,,18.0,",,N,25,",27.7,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,US1TXVC0066,2022-06,28.921247,-97.030103,43.9,"VICTORIA 7.3 NNW, TX US",3.0,"4,N",2.0,"4,N",1.0,"4,N",,,,,20220628.0,",4,N",,,50.8,"4,,N,28,",54.1,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,US1TXVC0067,2023-02,28.869448,-96.848081,22.3,"INEZ 3.3 W, TX US",7.0,",N",4.0,",N",0.0,",N",,,,,20230209.0,",,N",,,20.6,",,N,09,",34.2,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,US1TXVC0068,2023-06,28.8289447,-96.9473204,31.4,"VICTORIA 2.2 E, TX US",5.0,",N",2.0,",N",0.0,",N",0.0,"5,N",20230630.0,"+,5,N",20230606.0,",,N",0.0,"5,,N,30,+",6.1,",,N,06,",12.5,",,,N",0.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,US1TXVV0001,2007-10,29.383983,-100.90964,324.9,"DEL RIO 1.0 WNW, TX US",2.0,"1,N",2.0,"1,N",0.0,"1,N",0.0,"1,N",20071031.0,"+,1,N",20071010.0,",1,N",0.0,"1,,N,31,+",10.7,"1,,N,10,",16.8,"1,,,N",0.0,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,US1TXVV0003,2007-12,29.442051,-100.953602,347.5,"DEL RIO 5.7 NW, TX US",4.0,",N",2.0,",N",0.0,",N",0.0,",N",20071231.0,"+,,N",20071201.0,",,N",0.0,",,N,31,+",6.4,",,N,01,",12.3,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,US1TXVV0004,2008-06,29.321583,-100.44575,344.1,"CLOSED, TX US",1.0,"2,N",1.0,"2,N",1.0,"2,N",0.0,"2,N",20080630.0,"+,2,N",20080630.0,",2,N",0.0,"2,,N,30,+",50.8,"2,,N,30,",50.8,",a,,N",0.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
