,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
10,US1MANF0078,2022-04,42.1243,-71.2657,70.7,"WALPOLE 1.4 SW, MA US",,,,,,,,,,,,,,,,,,,,,,,100.9,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,US1MANF0080,2022-06,42.18032,-71.21854,29.9,"NORWOOD 1.2 WSW, MA US",7.0,"3,N",7.0,"3,N",0.0,"3,N",,,,,,,,,20220609.0,",3,N",,,,,20.3,"3,,N,09,",65.3,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,US1MANF0082,2022-09,42.196129,-71.22863,61.6,"WESTWOOD 1.5 SSW, MA US",10.0,",N",7.0,",N",2.0,",N",,,,,,,,,20220906.0,",,N",,,,,37.1,",,N,06,",122.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,US1MANF0084,2023-05,42.07636,-71.40319,87.5,"FRANKLIN 1.1 SW, MA US",9.0,",N",3.0,",N",2.0,",N",,,,,,,,,20230501.0,",,N",,,,,49.5,",,N,01,",106.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,US1MANT0001,2014-06,41.2921905517578,-70.1702194213867,4.3,"NANTUCKET 3.8 WNW, MA US",,,,,,,,,,,,,,,,,,,,,,,70.8,"5,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,US1MANT0002,2015-10,41.2656784057617,-70.0615844726563,16.5,"NANTUCKET 2.2 E, MA US",,,,,,,,,,,,,,,,,,,,,,,167.7,"5,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,US1MANT0006,2020-04,41.261207,-70.099873,9.8,"NANTUCKET 0.6 SSE, MA US",19.0,",N",12.0,",N",0.0,",N",,,,,,,,,20200424.0,",,N",,,,,18.8,",,N,24,",142.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,US1MANT0007,2020-06,41.27281,-70.10494,10.4,"NANTUCKET 0.2 NNW, MA US",9.0,",N",5.0,",N",1.0,",N",,,,,,,,,20200629.0,",,N",,,,,26.2,",,N,29,",63.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,US1MANT0009,2020-08,41.2462,-69.9941,12.8,"NANTUCKET 5.9 ESE, MA US",6.0,",N",4.0,",N",0.0,",N",,,,,,,,,20200817.0,",,N",,,,,24.1,",,N,17,",61.2,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,US1MAPL0002,2009-05,41.8096,-70.558075,18.3,"SAGAMORE BEACH 1.0 NW, MA US",17.0,"3,N",9.0,"3,N",1.0,"3,N",,,,,,,,,20090506.0,",3,N",,,,,40.9,"3,,N,06,",97.9,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,US1MAPL0004,2009-04,41.985501,-70.781342,31.4,"KINGSTON 3.5 WSW, MA US",10.0,",N",7.0,",N",3.0,",N",,,,,,,,,20090407.0,",,N",,,,,35.8,",,N,07,",154.6,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,US1MAPL0005,2009-06,42.017022,-70.772022,21.9,"KINGSTON 3.3 WNW, MA US",23.0,",N",13.0,",N",0.0,",N",,,,,,,,,20090623.0,",,N",,,,,22.4,",,N,23,",114.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,US1MAPL0006,2009-06,41.891812,-70.82143,42.1,"MIDDLEBOROUGH 5.5 E, MA US",19.0,",N",14.0,",N",1.0,",N",,,,,,,,,20090623.0,",,N",,,,,30.2,",,N,23,",139.7,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,US1MAPL0007,2009-05,41.95972,-70.66777,9.1,"PLYMOUTH 0.6 ENE, MA US",14.0,",N",5.0,",N",1.0,",N",,,,,,,,,20090506.0,",,N",,,,,39.4,",,N,06,",78.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,US1MAPL0008,2009-07,42.214884,-70.891989,18.0,"HINGHAM 1.6 S, MA US",15.0,"4,N",7.0,"4,N",4.0,"4,N",,,,,,,,,20090724.0,",4,N",,,,,59.2,"4,,N,24,",211.4,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,US1MAPL0010,2011-12,42.2107,-70.890414,20.4,"HINGHAM 1.8 S, MA US",8.0,"4,N",5.0,"4,N",1.0,"4,N",,,,,,,,,20111208.0,",4,N",,,,,56.9,"4,,N,08,",93.3,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,US1MAPL0012,2013-04,42.041644,-70.980847,24.1,"EAST BRIDGEWATER 1.7 WNW, MA US",10.0,",N",7.0,",N",0.0,",N",,,,,,,,,20130413.0,",,N",,,,,14.2,",,N,13,",49.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,US1MAPL0013,2014-07,42.0913,-70.6491,5.5,"MARSHFIELD 2.9 E, MA US",,,,,,,,,,,,,,,,,,,,,,,183.6,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,US1MAPL0015,2014-12,42.13426,-70.95208,46.0,"ABINGTON 1.2 NNE, MA US",17.0,",N",12.0,",N",1.0,",N",,,,,,,,,20141210.0,",,N",,,,,52.3,",,N,10,",143.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,US1MAPL0017,2015-06,41.963118,-70.811978,21.3,"PLYMPTON 0.9 NNE, MA US",16.0,"1,N",8.0,"1,N",2.0,"1,N",,,,,,,,,20150601.0,",1,N",,,,,36.3,"1,,N,01,",144.4,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,US1MAPL0018,2015-10,42.079857,-70.772636,8.8,"PEMBROKE 1.7 ENE, MA US",9.0,",N",6.0,",N",2.0,",N",0.0,",N",0.0,",N",20151031.0,"+,,N",20151031.0,"+,,N",20151001.0,",,N",0.0,",,N,31,+",0.0,",,N,31,+",63.2,",,N,01,",137.0,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,US1MAPL0019,2015-11,41.7482223510742,-70.8279342651367,18.3,"ROCHESTER 1.2 NNW, MA US",8.0,",N",4.0,",N",2.0,",N",,,,,,,,,20151123.0,",,N",,,,,27.9,",,N,23,",85.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,US1MAPL0021,2015-11,41.988,-70.9694,15.5,"BRIDGEWATER 0.1 ESE, MA US",5.0,"2,N",3.0,"2,N",1.0,"2,N",,,0.0,"2,N",,,20151130.0,"+,2,N",20151120.0,",2,N",,,0.0,"2,,N,30,+",30.2,"2,,N,20,",75.2,",a,,N",0.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,US1MAPL0022,2016-04,42.03202,-70.954795,22.3,"EAST BRIDGEWATER 0.3 WSW, MA US",10.0,",N",6.0,",N",1.0,",N",,,,,,,,,20160403.0,",,N",,,,,25.7,",,N,03,",70.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,US1MAPL0023,2016-05,42.0384187996387,-70.8393743634224,24.4,"PEMBROKE 2.8 SW, MA US",12.0,"5,N",7.0,"5,N",1.0,"5,N",,,,,,,,,20160530.0,",5,N",,,,,28.7,"5,,N,30,",86.3,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,US1MAPL0024,2016-05,42.0799026489258,-70.953498840332,29.3,"WHITMAN 1.1 WSW, MA US",14.0,",N",10.0,",N",1.0,",N",,,,,,,,,20160531.0,",,N",,,,,28.4,",,N,31,",81.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,US1MAPL0028,2016-05,42.081398,-70.934418,32.0,"WHITMAN 0.1 SSW, MA US",15.0,",N",10.0,",N",1.0,",N",,,,,,,,,20160530.0,",,N",,,,,30.2,",,N,30,",80.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,US1MAPL0030,2016-11,42.042382,-70.746168,33.8,"DUXBURY 3.7 W, MA US",,,,,,,,,,,,,,,,,,,,,,,50.3,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,US1MAPL0031,2016-12,41.971742,-70.943772,27.7,"BRIDGEWATER 1.8 SE, MA US",12.0,"1,N",9.0,"1,N",0.0,"1,N",,,,,,,,,20161230.0,",1,N",,,,,17.3,"1,,N,30,",76.1,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,US1MAPL0033,2017-05,41.95028,-70.68063,43.3,"PLYMOUTH 0.6 SSW, MA US",14.0,"2,N",7.0,"2,N",2.0,"2,N",,,,,,,,,20170514.0,",2,N",,,,,35.3,"2,,N,14,",113.2,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,US1MAPL0036,2017-07,42.230932,-70.874486,11.3,"HINGHAM 0.8 ESE, MA US",9.0,"5,N",6.0,"5,N",1.0,"5,N",,,0.0,"5,N",,,20170731.0,"+,5,N",20170725.0,",5,N",,,0.0,"5,,N,31,+",34.0,"5,,N,25,",90.5,",a,,N",0.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,US1MAPL0037,2017-09,42.201692,-70.7515676,30.5,"SCITUATE 1.2 NW, MA US",6.0,"3,N",4.0,"3,N",0.0,"3,N",,,,,,,,,20170907.0,",3,N",,,,,19.3,"3,,N,07,",30.6,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,US1MAPL0039,2018-01,41.890901,-70.587966,27.4,"PLYMOUTH 6.6 SE, MA US",13.0,",N",8.0,",N",3.0,",N",,,,,,,,,20180113.0,",,N",,,,,58.2,",,N,13,",168.6,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,US1MAPL0043,2018-04,42.072337,-70.858647,19.2,"HANSON 0.7 NW, MA US",,,,,,,,,,,,,,,,,,,,,,,142.7,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,US1MAPL0047,2018-08,41.9730690105403,-70.6841158600396,14.3,"PLYMOUTH 1.1 NNW, MA US",10.0,",N",6.0,",N",1.0,",N",,,,,,,,,20180805.0,",,N",,,,,51.1,",,N,05,",112.6,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,US1MAPL0048,2018-11,42.111853,-70.717767,26.8,"MARSHFIELD 1.5 NNW, MA US",16.0,",N",14.0,",N",4.0,",N",,,,,,,,,20181110.0,",,N",,,,,42.9,",,N,10,",255.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,US1MAPL0052,2019-12,41.81942,-70.59023,38.7,"PLYMOUTH 10.6 SSE, MA US",15.0,"1,N",11.0,"1,N",4.0,"1,N",,,,,,,,,20191210.0,",1,N",,,,,46.5,"1,,N,10,",253.5,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,US1MAPL0054,2020-04,41.802137,-70.556311,18.6,"PLYMOUTH 12.5 SSE, MA US",23.0,",N",14.0,",N",1.0,",N",,,,,,,,,20200427.0,",,N",,,,,31.2,",,N,27,",174.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,US1MAPL0055,2021-04,41.880686,-70.721782,34.4,"CARVER 2.3 E, MA US",11.0,"5,N",6.0,"5,N",1.0,"5,N",,,,,,,,,20210417.0,",5,N",,,,,33.5,"5,,N,17,",112.9,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,US1MAPL0057,2020-08,42.090749,-70.849143,25.9,"HANSON 1.8 N, MA US",9.0,",N",6.0,",N",0.0,",N",,,,,,,,,20200818.0,",,N",,,,,15.2,",,N,18,",56.7,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,US1MAPL0060,2021-01,42.10482,-70.930465,38.1,"ABINGTON 1.7 ESE, MA US",4.0,"3,N",3.0,"3,N",0.0,"3,N",,,,,,,,,20210117.0,",3,N",,,,,19.1,"3,,N,17,",40.9,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,US1MAPL0061,2021-04,41.853603,-70.891992,31.7,"MIDDLEBOROUGH 3.5 SSE, MA US",11.0,",N",7.0,",N",2.0,",N",,,,,,,,,20210401.0,",,N",,,,,29.0,",,N,01,",110.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,US1MAPL0063,2021-10,41.800413009,-70.632944092,21.3,"WAREHAM 5.6 NE, MA US",9.0,"5,N",7.0,"5,N",2.0,"5,N",,,,,,,,,20211027.0,",5,N",,,,,38.9,"5,,N,27,",121.3,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,US1MAPL0065,2022-06,42.09921,-70.68091,2.7,"MARSHFIELD 1.4 ENE, MA US",10.0,"2,N",6.0,"2,N",0.0,"2,N",,,,,,,,,20220628.0,",2,N",,,,,22.9,"2,,N,28,",86.8,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,US1MAPL0066,2022-04,41.7223161,-70.7591872,2.7,"MARION 1.3 N, MA US",9.0,"3,N",6.0,"3,N",1.0,"3,N",,,,,,,,,20220408.0,",3,N",,,,,35.6,"3,,N,08,",86.4,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,US1MAPL0072,2023-02,42.1511,-70.7718,21.6,"NORTH MARSHFIELD 0.6 NNE, MA US",8.0,"1,N",4.0,"1,N",0.0,"1,N",,,,,,,,,20230223.0,",1,N",,,,,15.0,"1,,N,23,",36.3,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,US1MAPL0073,2023-04,42.2091,-70.7308,6.7,"SCITUATE 1.4 N, MA US",7.0,"4,N",4.0,"4,N",1.0,"4,N",,,,,,,,,20230430.0,",4,N",,,,,27.2,"4,,N,30,",58.2,"2,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,US1MASF0001,2009-03,42.357019,-71.067142,13.1,"BOSTON 0.5 WSW, MA US",,,,,,,,,,,,,,,,,,,,,,,51.2,"3,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,US1MASF0002,2011-03,42.384222,-70.979692,13.1,"WINTHROP 0.2 N, MA US",7.0,",N",5.0,",N",0.0,",N",,,0.0,",N",,,20110322.0,",,N",20110301.0,",,N",,,8.0,",,N,22,",17.3,",,N,01,",63.9,",,,N",19.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,US1MASF0003,2010-02,42.3131,-71.0998,24.1,"JAMAICA PLAIN 1.3 NE, MA US",7.0,",N",5.0,",N",3.0,",N",,,2.0,"3,N",,,20100217.0,",3,N",20100226.0,",,N",,,140.0,"3,,N,17,",46.0,",,N,26,",127.7,",,,N",178.0,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,US1MASF0004,2011-09,42.349566,-71.158882,16.2,"BRIGHTON 0.5 W, MA US",,,,,,,,,,,,,,,,,,,,,,,142.8,"4,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,US1MASF0010,2015-08,42.4073,-71.0357,32.3,"CHELSEA 0.8 N, MA US",9.0,"1,N",4.0,"1,N",0.0,"1,N",,,,,,,,,20150822.0,",1,N",,,,,16.5,"1,,N,22,",46.5,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,US1MASF0017,2018-06,42.28861,-71.04957,2.7,"DORCHESTER 1.8 ENE, MA US",,,,,,,,,,,,,,,,,,,,,,,81.1,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,US1MASF0030,2021-03,42.37803,-71.06269,13.7,"CHARLESTOWN 0.4 SSE, MA US",7.0,",N",4.0,",N",0.0,",N",,,,,,,,,20210329.0,",,N",,,,,18.8,",,N,29,",45.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,US1MASF0031,2021-10,42.2927,-71.1456,54.6,"BOSTON 6.5 SW, MA US",10.0,",N",8.0,",N",3.0,",N",,,,,,,,,20211031.0,",,N",,,,,32.3,",,N,31,",157.6,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,US1MAWR0001,2009-02,42.179034,-71.533878,121.0,"MILFORD 2.3 NNW, MA US",3.0,"3,N",3.0,"3,N",0.0,"3,N",,,2.0,"4,N",,,20090204.0,",4,N",20090219.0,",3,N",,,97.0,"4,,N,04,",10.2,"3,,N,19,",22.6,"3,,,N",161.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,US1MAWR0002,2009-04,42.289349,-71.587071,135.9,"WESTBOROUGH 2.2 NE, MA US",10.0,",N",8.0,",N",0.0,",N",,,,,,,,,20090407.0,",,N",,,,,20.3,",,N,07,",95.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,US1MAWR0005,2021-03,42.2764,-71.8701,263.0,"WORCESTER 3.2 W, MA US",4.0,"2,N",3.0,"2,N",0.0,"2,N",,,,,,,,,20210329.0,",2,N",,,,,21.1,"2,,N,29,",44.2,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,US1MAWR0006,2020-02,42.084223,-72.022525,139.9,"SOUTHBRIDGE 0.6 E, MA US",8.0,"4,N",7.0,"4,N",0.0,"4,N",,,,,,,,,20200228.0,",4,N",,,,,18.0,"4,,N,28,",67.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,US1MAWR0007,2010-09,42.149,-71.525,119.5,"MILFORD 0.5 W, MA US",9.0,"2,N",5.0,"2,N",1.0,"2,N",,,,,,,,,20100929.0,",2,N",,,,,33.5,"2,,N,29,",69.2,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,US1MAWR0008,2010-11,42.566737,-71.821695,217.6,"FITCHBURG 1.6 SSW, MA US",12.0,",N",9.0,",N",2.0,",N",,,,,,,,,20101105.0,",,N",,,,,33.3,",,N,05,",100.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,US1MAWR0010,2011-05,42.264539,-71.623006,113.1,"WESTBOROUGH 0.3 WSW, MA US",,,,,,,,,,,,,,,,,,,,,,,80.8,"1,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,US1MAWR0013,2011-05,42.497,-71.775,179.5,"LEOMINSTER 1.5 S, MA US",16.0,"1,N",9.0,"1,N",0.0,"1,N",,,,,,,,,20110516.0,",1,N",,,,,21.3,"1,,N,16,",77.0,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,US1MAWR0018,2012-02,42.303674,-71.646224,91.4,"NORTHBOROUGH 0.6 SSE, MA US",4.0,"1,N",2.0,"1,N",0.0,"1,N",,,,,,,,,20120225.0,",1,N",,,,,21.6,"1,,N,25,",24.7,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,US1MAWR0020,2012-12,42.13697,-71.53332,117.3,"MILFORD 1.2 SW, MA US",,,,,,,,,2.0,",N",,,20121229.0,",,N",,,,,323.0,",,N,29,",,,,,433.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,US1MAWR0025,2014-01,42.337656095624,-71.8136995285749,249.3,"HOLDEN 2.0 ESE, MA US",14.0,"4,N",7.0,"4,N",0.0,"4,N",,,,,,,,,20140115.0,",4,N",,,,,18.0,"4,,N,15,",78.9,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,US1MAWR0028,2014-05,42.3775,-71.6583,123.4,"BERLIN 1.3 WSW, MA US",17.0,"1,N",8.0,"1,N",2.0,"1,N",,,,,,,,,20140501.0,",1,N",,,,,37.1,"1,,N,01,",130.8,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,US1MAWR0030,2015-04,42.31955,-71.70049,179.8,"SHREWSBURY 1.6 NNE, MA US",7.0,"4,N",5.0,"4,N",1.0,"4,N",,,,,,,,,20150421.0,",4,N",,,,,38.9,"4,,N,21,",71.9,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,US1MAWR0031,2015-06,42.200325,-71.70889899,110.0,"GRAFTON 1.3 W, MA US",11.0,"3,N",10.0,"3,N",3.0,"3,N",,,,,,,,,20150601.0,",3,N",,,,,62.2,"3,,N,01,",217.4,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,US1MAWR0032,2015-11,42.1888198852539,-71.8000793457031,216.4,"AUBURN 1.9 ESE, MA US",10.0,"3,N",4.0,"3,N",1.0,"3,N",,,,,,,,,20151120.0,",3,N",,,,,30.5,"3,,N,20,",48.2,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,US1MAWR0039,2016-07,42.572897,-72.004903,305.7,"GARDNER 1.2 SW, MA US",9.0,"1,N",5.0,"1,N",1.0,"1,N",,,,,,,,,20160715.0,",1,N",,,,,30.7,"1,,N,15,",55.8,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,US1MAWR0040,2016-04,42.56416667,-71.99361111,306.3,"GARDNER 1.4 SSW, MA US",12.0,",N",8.0,",N",0.0,",N",,,,,,,,,20160413.0,"+,,N",,,,,10.7,",,N,13,+",64.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,US1MAWR0041,2016-04,42.17336,-71.86869,236.8,"AUBURN 2.6 SW, MA US",13.0,",N",9.0,",N",1.0,",N",,,,,,,,,20160408.0,",,N",,,,,25.9,",,N,08,",93.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
