,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
14,AGE00135039,1852-01,35.7297,0.65,50.0,"ORAN HOPITAL MILITAIRE, AG",0.0,E,0.0,"1,E",11.0,",E",8.0,",E",1.0,",E",,,,,0.0,"1,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",0.0,"1,E",18520107.0,",1,E",,,,,,,18520103.0,",,E",18520131.0,",1,E",3.5,"1,E,07,",,,,,25.5,",,E,03,",16.3,"1,E,31,",,,225.3,"1,E",77.7,",,,E",,,10.82,"1,E",14.14,"1,,,E",7.5,"1,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,AGE00147704,1909-12,36.97,7.79,161.0,"ANNABA CAP DE GARDE, AG",,,4.0,",E",5.0,",E",4.0,",E",0.0,",E",,,,,0.0,",E",0.0,",E",0.0,",E",6.0,",E",0.0,",E",19091211.0,"+,,E",,,,,,,19091208.0,",,E",19091224.0,",,E",5.0,",E,11,+",,,,,25.0,",,E,08,",26.0,",E,24,",,,130.8,",E",54.0,",,,E",,,14.24,",E",17.9,",,,E",10.58,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,AGE00147705,1877-05,36.78,3.07,59.0,"ALGIERS VILLE UNIVERSITE, AG",,,,,4.0,"5,E",0.0,"5,E",0.0,"5,E",,,,,,,,,,,,,,,,,,,,,,,18770527.0,",5,E",,,,,,,,,1.8,"5,,E,27,",,,,,,,5.4,"5,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,AGE00147706,1893-01,36.8,3.03,344.0,"ALGIERS BOUZAREAH, AG",0.0,E,0.0,"4,E",12.0,"1,E",7.0,"1,E",1.0,"1,E",,,,,0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",18930117.0,",2,E",,,,,,,18930112.0,",1,E",18930109.0,"+,2,E",1.0,"2,E,17,",,,,,39.0,"1,,E,12,",18.0,"2,E,09,+",,,230.6,"2,E",92.6,"1,,,E",,,9.53,"4,E",12.04,"2,,,E",7.02,"2,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,AGE00147707,1878-01,36.8,3.04,38.0,"ALGIERS CAP CAXINE, AG",0.0,E,0.0,",E",9.0,",E",5.0,",E",1.0,",E",,,,,0.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",18780114.0,"+,,E",,,,,,,18780113.0,",,E",18780109.0,",,E",5.0,",E,14,+",,,,,46.2,",,E,13,",16.2,",E,09,",,,207.2,",E",96.3,",,,E",,,11.65,",E",13.99,",,,E",9.3,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,AGE00147708,1879-02,36.72,4.05,222.0,"TIZI OUZOU, AG",,,,,6.0,"2,E",5.0,"2,E",0.0,"2,E",,,,,,,,,,,,,,,,,,,,,,,18790205.0,",2,E",,,,,,,,,19.0,"2,,E,05,",,,,,,,41.0,"2,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,AGE00147709,1879-02,36.63,4.2,942.0,"FORT NATIONAL, AG",,,,,6.0,"2,E",5.0,"2,E",0.0,"2,E",,,,,,,,,,,,,,,,,,,,,,,18790205.0,",2,E",,,,,,,,,19.0,"2,,E,05,",,,,,,,41.0,"2,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,AGE00147710,1909-12,36.75,5.1,9.0,"BEJAIA BOUGIE PORT, AG",,,9.8,"1,E",9.0,",E",8.0,",E",0.0,",E",,,,,0.0,"1,E",0.0,"1,E",0.0,",E",7.0,",E",0.0,",E",19091212.0,"+,1,E",,,,,,,19091210.0,",,E",19091224.0,",,E",5.0,"1,E,12,+",,,,,24.7,",,E,10,",28.0,",E,24,",,,130.8,",E",71.8,",,,E",,,14.16,"1,E",18.52,",,,E",9.8,"1,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,AGE00147711,1880-06,36.3697,6.62,660.0,"CONSTANTINE, AG",,,,,0.0,",E",0.0,",E",0.0,",E",,,,,,,,,,,,,,,,,,,,,,,18800630.0,"+,,E",,,,,,,,,0.0,",,E,30,+",,,,,,,0.0,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,AGE00147712,1879-01,36.17,1.34,112.0,"ORLEANSVILLE CHLEF, AG",,,,,8.0,",E",6.0,",E",0.0,",E",,,,,,,,,,,,,,,,,,,,,,,18790108.0,",,E",,,,,,,,,22.4,",,E,08,",,,,,,,49.0,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,AGE00147713,1878-01,36.18,5.4,1081.0,"SETIF, AG",0.0,E,0.0,",E",10.0,",E",4.0,",E",0.0,",E",,,,,0.0,",E",23.0,",E",0.0,",E",0.0,",E",0.0,",E",18780113.0,",,E",,,,,,,18780113.0,",,E",18780123.0,",,E",-4.0,",E,13,",,,,,8.4,",,E,13,",12.5,",E,23,",,,458.2,",E",29.9,",,,E",,,3.55,",E",7.93,",,,E",-0.83,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,AGE00147714,1896-01,35.77,0.8,78.0,"ORAN CAP FALCON, AG",0.0,E,0.0,",E",7.0,",E",5.0,",E",0.0,",E",,,,,0.0,",E",0.0,",E",0.0,",E",1.0,",E",0.0,",E",18960110.0,",,E",,,,,,,18960125.0,",,E",18960104.0,",,E",3.8,",E,10,",,,,,11.7,",,E,25,",23.6,",E,04,",,,170.7,",E",39.9,",,,E",,,12.83,",E",15.83,",,,E",9.82,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,AGE00147715,1879-01,35.42,8.1197,863.0,"TEBESSA, AG",,,,,4.0,",E",2.0,",E",0.0,",E",,,,,,,,,,,,,,,,,,,,,,,18790130.0,",,E",,,,,,,,,6.0,",,E,30,",,,,,,,13.0,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,AGE00147716,1878-01,35.1,-1.85,83.0,"NEMOURS GHAZAOUET, AG",0.0,,0.0,",E",4.0,",E",4.0,",E",1.0,",E",,,,,0.0,",E",0.0,",E",0.0,",E",0.0,",E",0.0,",E",18780115.0,"+,,E",,,,,,,18780111.0,",,E",18780125.0,",,E",0.4,",E,15,+",,,,,27.5,",,E,11,",20.3,",E,25,",,,249.2,",E",52.2,",,,E",,,10.29,",E",15.85,",,,E",4.74,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,AGE00147717,1880-01,35.2,0.63,476.0,"SIDI BEL ABBES, AG",0.0,E,0.0,",E",6.0,",E",5.0,",E",0.0,",E",,,,,0.0,",E",24.0,",E",0.0,",E",0.0,",E",0.0,",E",18800114.0,",,E",,,,,,,18800131.0,",,E",18800119.0,",,E",-8.3,",E,14,",,,,,18.0,",,E,31,",19.4,",E,19,",,,393.9,",E",52.0,",,,E",,,5.63,",E",13.75,",,,E",-2.49,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,AGE00147718,1880-01,34.85,5.72,125.0,"BISKRA, AG",,,,,3.0,",E",3.0,",E",0.0,",E",,,,,0.0,",",1.0,",E",,,,,,,18800112.0,",,E",,,,,,,18800129.0,",,E",,,0.0,",E,12,",,,,,21.7,",,E,29,",,,,,,,38.1,",,,E",,,,,,,4.08,",,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,AGE00147719,1888-01,33.7997,2.89,767.0,"LAGHOUAT, AG",,,,,1.0,"2,E",0.0,"2,E",0.0,"2,E",,,,,0.0,"2,E",17.0,"2,E",0.0,"2,E",0.0,"2,E",0.0,"2,E",18880130.0,",2,E",,,,,,,18880109.0,",2,E",18880123.0,"+,2,E",-9.0,"2,E,30,",,,,,1.0,"2,,E,09,",20.0,"2,E,23,+",,,,,1.0,"2,,,E",,,7.84,"4,E",15.62,"2,,,E",0.07,"2,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,AGE00147720,1888-01,33.68,1.0,1320.0,"GERYVILLE EL BAYADH, AG",0.0,E,0.0,"2,E",3.0,"1,E",2.0,"1,E",0.0,"1,E",,,,,0.0,"1,E",11.0,"1,E",0.0,"1,E",1.0,"1,E",0.0,"1,E",18880125.0,",1,E",,,,,,,18880108.0,"+,1,E",18880102.0,",1,E",-10.0,"1,E,25,",,,,,8.0,"1,,E,08,+",25.0,"1,E,02,",,,332.9,"1,E",18.0,"1,,,E",,,6.84,"2,E",13.47,"1,,,E",0.22,"1,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,AGE00147780,1931-01,37.08,6.47,195.0,"SKIKDA CAP BOUGAROUNI, AG",,,,,,,,,,,,,,,0.0,"5,E",0.0,"5,E",0.0,"5,E",1.0,"5,E",0.0,"5,E",19310113.0,",5,E",,,,,,,,,19310103.0,",5,E",6.0,"5,E,13,",,,,,,,23.0,"5,E,03,",,,,,,,,,12.06,"8,E",14.31,"5,,,E",9.81,"5,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,AGE00147794,1926-09,36.78,5.1,225.0,"BEJAIA CAP CARBON, AG",,,170.7,"5,E",,,,,,,,,,,0.0,"2,E",0.0,"2,E",0.0,"3,E",27.0,"3,E",3.0,"3,E",19260930.0,",2,E",,,,,,,,,19260926.0,"+,3,E",16.0,"2,E,30,",,,,,,,36.0,"3,E,26,+",,,0.0,"3,E",,,,,24.98,"5,E",28.93,"3,,,E",21.04,"2,,,E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,AGM00060351,1984-04,36.795,5.874,11.0,"JIJEL, AG",,,,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",1.0,"5,S",0.0,"5,S",19840409.0,",5,S",,,,,,,,,19840429.0,",5,S",8.9,"5,S,09,",,,,,,,23.4,"5,S,29,",,,,,,,,,15.06,"8,S",17.78,"5,,,S",12.34,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,AGM00060353,2001-07,36.817,5.883,6.0,"JIJEL PORT, AG",,,181.8,"5,S",,,,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"5,S",26.0,"5,S",2.0,"5,S",20010720.0,",3,S",,,,,,,,,20010709.0,",5,S",17.4,"3,S,20,",,,,,,,38.3,"5,S,09,",0.0,S,0.0,"5,S",,,,,25.34,"5,S",29.55,"5,,,S",21.13,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,AGM00060355,1966-03,36.933,6.95,7.0,"SKIKDA, AG",,,,,,,,,,,,,,,0.0,"3,S",0.0,"3,S",0.0,"4,S",2.0,"4,S",0.0,"4,S",19660331.0,"+,3,S",,,,,,,,,19660328.0,",4,S",3.9,"3,S,31,+",,,,,,,23.9,"4,S,28,",,,,,,,,,11.95,"6,S",16.23,"4,,,S",7.68,"3,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,AGM00060360,1957-07,36.822,7.809,4.9,"ANNABA, AG",,,148.3,"2,S",,,,,,,,,,,0.0,"1,S",0.0,"1,S",0.0,"1,S",30.0,"1,S",6.0,"1,S",19570721.0,",1,S",,,,,,,,,19570715.0,",1,S",13.9,"1,S,21,",,,,,,,33.9,"1,S,15,",0.0,S,0.0,"1,S",,,,,23.37,"2,S",29.15,"1,,,S",17.59,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,AGM00060367,2003-02,36.9,8.45,13.0,"EL KALA, AG",,,,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",,,,,,,20030202.0,",5,S",,,,,,,,,,,4.7,"5,S,02,",,,,,,,,,,,,,,,,,,,,,8.32,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,AGM00060369,2001-07,36.767,3.1,12.0,"ALGER PORT, AG",,,,,,,,,,,,,,,0.0,"4,S",0.0,"4,S",,,,,,,20010703.0,",4,S",,,,,,,,,,,16.5,"4,S,03,",,,,,,,,,,,,,,,,,,,,,18.54,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,AGM00060387,2003-03,36.917,3.95,8.0,"DELLYS, AG",,,0.0,"5,S",,,,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"2,S",1.0,"2,S",0.0,"2,S",20030321.0,",4,S",,,,,,,,,20030328.0,",2,S",7.2,"4,S,21,",,,,,,,22.2,"2,S,28,",,,113.1,"2,S",,,,,14.04,"5,S",17.24,"2,,,S",10.84,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,AGM00060402,1973-03,36.712,5.07,6.1,"SOUMMAM, AG",,,0.0,"3,S",,,,,,,,,,,0.0,"2,S",0.0,"2,S",0.0,"3,S",1.0,"3,S",0.0,"3,S",19730315.0,"+,2,S",,,,,,,,,19730306.0,",3,S",3.0,"2,S,15,+",,,,,,,22.0,"3,S,06,",,,213.3,"3,S",,,,,10.7,"3,S",14.79,"3,,,S",6.62,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,AGM00060403,2001-09,36.467,7.467,228.0,"GUELMA, AG",,,152.1,"5,S",,,,,,,,,,,0.0,"1,S",0.0,"1,S",0.0,"4,S",26.0,"4,S",9.0,"4,S",20010916.0,",1,S",,,,,,,,,20010904.0,",4,S",13.1,"1,S,16,",,,,,,,38.0,"4,S,04,",,,0.0,"4,S",,,,,24.42,"5,S",31.32,"4,,,S",17.53,"1,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,AGM00060405,2003-03,36.5,7.717,111.0,"BOUCHEGOUF, AG",,,,,,,,,,,,,,,,,,,0.0,"2,S",9.0,"2,S",0.0,"2,S",,,,,,,,,,,20030327.0,",2,S",,,,,,,,,27.0,"2,S,27,",,,,,,,,,,,19.79,"2,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,AGM00060410,2001-07,36.5,1.333,18.0,"TENES, AG",,,,,,,,,,,,,,,0.0,"5,S",0.0,"5,S",0.0,"5,S",26.0,"5,S",1.0,"5,S",20010702.0,",5,S",,,,,,,,,20010731.0,",5,S",18.6,"5,S,02,",,,,,,,34.6,"5,S,31,",,,,,,,,,25.28,"7,S",28.72,"5,,,S",21.85,"5,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,AGM00060415,2003-10,36.317,3.533,748.0,"AIN BESSAM, AG",,,,,,,,,,,,,,,,,,,0.0,"4,S",19.0,"4,S",2.0,"4,S",,,,,,,,,,,20031002.0,",4,S",,,,,,,,,36.0,"4,S,02,",,,,,,,,,,,22.93,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,AGM00060417,2001-07,36.383,3.883,560.0,"BOUIRA, AG",,,248.8,"5,S",,,,,,,,,,,0.0,"4,S",0.0,"4,S",0.0,"5,S",26.0,"5,S",21.0,"5,S",20010720.0,",4,S",,,,,,,,,20010729.0,",5,S",14.0,"4,S,20,",,,,,,,42.5,"5,S,29,",0.0,S,0.0,"5,S",,,,,27.92,"5,S",35.93,"5,,,S",19.91,"4,,,S",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
