,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,AWND,AWND_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
10,CA007025229,1994-09,45.3167,-72.2333,846.0,"MONT ORFORD, QC CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,"5,C",0.0,"5,C",0.0,"5,C",,,,,19940921.0,",5,C",,,,,19.4,"5,C,21,",,,,,,,13.81,"5,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,CA007025245,1967-02,45.4667,-73.5,14.0,"MONTREAL ICE CONTROL, QC CA",,,,,,,,,,,,,,,,,,,,,,,0.0,",C",,,12.0,",C",28.0,",C",25.0,",C",0.0,",C",0.0,",C",19670213.0,",,C",,,19670211.0,"+,,C",-30.0,",C,13,",,,2.8,",C,11,+",,,852.3,",C",-12.11,",C",-7.16,",,,C",-17.05,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,CA007025250,1941-09,45.4667,-73.75,36.0,"MONTREAL PIERRE ELLIOTT TRUDEA, QC CA",6.0,",C",3.0,",C",0.0,",C",0.0,",C",19410930.0,"+,,C",19410905.0,",,C",0.0,",,C,30,+",21.8,",,C,05,",37.3,",,,C",0.0,",,,C",,,21.9,",C",,,0.0,",C",0.0,",C",0.0,",C",17.0,",C",0.0,",C",19410913.0,",,C",,,19410910.0,"+,,C",0.6,",C,13,",,,28.3,",C,10,+",,,98.2,",C",15.79,",C",22.13,",,,C",9.44,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,CA007025251,2013-04,45.4706,-73.7408,36.0,"MONTREAL INTERNATIONAL A, QC CA",9.0,"4,C",4.0,"4,C",0.0,"4,C",0.0,"4,C",20130420.0,"+,4,C",20130409.0,",4,C",0.0,"4,T,C,20,+",13.0,"4,,C,09,",32.4,"4,,,C",0.0,"4,T,,C",,,0.0,"4,C",,,0.0,"4,C",10.0,"4,C",1.0,"4,C",3.0,"4,C",0.0,"4,C",20130402.0,",4,C",,,20130430.0,",4,C",-6.7,"4,C,02,",,,22.1,"4,C,30,",,,314.6,"4,C",6.23,"4,C",11.38,"4,,,C",1.08,"4,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,CA007025252,1994-12,45.6333,-73.55,50.0,"MONTREAL EST, QC CA",,,,,,,,,,,,,,,,,,,,,,,0.0,"1,C",,,4.0,"1,C",23.0,"1,C",15.0,",C",0.0,",C",0.0,",C",19941230.0,",1,C",,,19941202.0,",,C",-20.7,"1,C,30,",,,8.7,",C,02,",,,660.2,",C",-3.62,"1,C",-0.13,",,,C",-7.1,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,CA007025257,1948-05,45.5667,-73.55,46.0,"MONTREAL JAR BOT, QC CA",13.0,",C",8.0,",C",0.0,",C",0.0,",C",19480531.0,"+,,C",19480507.0,",,C",0.0,",,C,31,+",15.2,",,C,07,",61.1,",,,C",0.0,",,,C",,,5.0,"1,C",,,0.0,"1,C",1.0,"1,C",0.0,",C",7.0,",C",0.0,",C",19480503.0,",1,C",,,19480529.0,",,C",0.0,"1,C,03,",,,27.8,",C,29,",,,180.8,",C",12.43,"1,C",17.91,",,,C",6.96,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,CA007025260,1956-03,45.5,-73.6167,133.0,"MONTREAL JEAN BREBEUF, QC CA",,,,,,,,,,,,,,,,,,,,,,,0.0,",C",,,0.0,",C",31.0,",C",21.0,",C",0.0,",C",0.0,",C",19560327.0,"+,,C",,,19560311.0,",,C",-16.1,",C,27,+",,,7.2,",C,11,",,,757.1,",C",-6.09,",C",-1.58,",,,C",-10.6,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,CA007025267,1971-01,45.5167,-73.5667,41.0,"MONTREAL LAFONTAINE, QC CA",14.0,",C",10.0,",C",0.0,",C",10.0,",C",19710121.0,",,C",19710121.0,",,C",127.0,",,C,21,",12.7,",,C,21,",63.8,",,,C",638.0,",,,C",0.0,C,0.0,",C",,,15.0,",C",31.0,",C",26.0,",C",0.0,",C",0.0,",C",19710118.0,",,C",,,19710104.0,",,C",-25.6,",C,18,",,,4.4,",C,04,",,,921.3,",C",-11.39,",C",-7.98,",,,C",-14.79,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,CA007025280,1871-07,45.5,-73.5833,57.0,"MONTREAL MCGILL, QC CA",10.0,",C",9.0,",C",1.0,",C",0.0,",C",18710731.0,"+,,C",18710718.0,",,C",0.0,",,C,31,+",29.0,",,C,18,",126.3,",,,C",0.0,",,,C",,,101.1,",C",,,0.0,",C",0.0,",C",0.0,",C",27.0,",C",1.0,",C",18710703.0,",,C",,,18710713.0,",,C",11.7,",C,03,",,,35.0,",C,13,",1.4,C,1.4,",C",21.55,",C",26.19,",,,C",16.92,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,CA007025328,1976-06,45.5833,-73.1833,31.0,"MONT ST HILAIRE, QC CA",12.0,",C",9.0,",C",0.0,",C",0.0,",C",19760630.0,"+,,C",19760611.0,",,C",0.0,",,C,30,+",22.1,",,C,11,",99.5,",,,C",0.0,",,,C",,,75.2,",C",,,0.0,",C",0.0,",C",0.0,",C",28.0,",C",0.0,",C",19760602.0,",,C",,,19760615.0,"+,,C",5.6,",C,02,",,,30.6,",C,15,+",,,27.2,",C",19.93,",C",25.04,",,,C",14.82,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,CA007025330,1960-01,45.55,-73.0833,174.0,"MONT ST HILAIRE, QC CA",19.0,",C",8.0,",C",0.0,",C",7.0,",C",19600115.0,"+,,C",19600102.0,",,C",89.0,",,C,15,+",15.0,",,C,02,",73.6,",,,C",574.0,",,,C",0.0,C,0.0,",C",,,7.0,",C",31.0,",C",28.0,",C",0.0,",C",0.0,",C",19600109.0,",,C",,,19600115.0,",,C",-31.7,",C,09,",,,2.2,",C,15,",,,900.7,",C",-10.72,",C",-6.35,",,,C",-15.09,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,CA007025332,1967-09,45.55,-73.1667,210.0,"MONT ST HILAIRE MCGILL, QC CA",8.0,",C",6.0,",C",0.0,",C",0.0,",C",19670930.0,"+,,C",19670924.0,",,C",0.0,",,C,30,+",14.7,",,C,24,",53.9,",,,C",0.0,",,,C",,,5.0,"1,C",,,0.0,"1,C",0.0,"1,C",0.0,"1,C",16.0,"1,C",0.0,"1,C",19670924.0,"+,1,C",,,19670917.0,"+,1,C",2.8,"1,C,24,+",,,25.0,"1,C,17,+",,,124.2,"1,C",14.22,"1,C",19.38,"1,,,C",9.06,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,CA007025425,1973-01,45.35,-71.4833,210.0,"NEW MEXICO, QC CA",12.0,",C",9.0,",C",0.0,",C",7.0,",C",19730129.0,",,C",19730129.0,",,C",74.0,",,C,29,",7.4,",,C,29,",49.0,",,,C",386.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,CA007025440,1913-08,46.2,-72.6167,30.0,"NICOLET, QC CA",5.0,",C",5.0,",C",0.0,",C",0.0,",C",19130831.0,"+,,C",19130822.0,",,C",0.0,",,C,31,+",15.7,",,C,22,",40.6,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,CA007025442,1993-09,46.2333,-72.65,8.0,"NICOLET, QC CA",14.0,"3,C",9.0,"3,C",0.0,"3,C",,,,,19930923.0,",3,C",,,17.4,"3,,C,23,",84.4,"3,,,C",,,,,5.3,"3,C",,,0.0,"3,C",1.0,"3,C",0.0,"3,C",5.0,"3,C",0.0,"3,C",19930930.0,",3,C",,,19930914.0,",3,C",-0.2,"3,C,30,",,,27.2,"3,C,14,",,,153.3,"3,C",12.85,"3,C",17.81,"3,,,C",7.89,"3,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,CA007025660,1965-05,45.2833,-71.95,244.0,"NORTH HATLEY, QC CA",8.0,"2,C",4.0,"2,C",0.0,"2,C",0.0,",C",19650531.0,"+,,C",19650527.0,",2,C",0.0,",,C,31,+",15.7,"2,,C,27,",36.5,",a,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,CA007025670,1965-04,45.4,-71.0833,503.0,"NOTRE DAME DES BOIS, QC CA",7.0,",C",6.0,",C",0.0,",C",1.0,",C",19650412.0,",,C",19650412.0,",,C",38.0,",,C,12,",9.7,",,C,12,",36.7,",,,C",38.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,CA007025745,1962-11,45.1167,-74.05,46.0,"ORMSTOWN, QC CA",7.0,",C",5.0,",C",0.0,",C",2.0,",C",19621103.0,",,C",19621110.0,",,C",127.0,",,C,03,",18.5,",,C,10,",47.4,",,,C",178.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,CA007026005,1973-01,45.4,-71.5833,46.0,"PETIT LAC, QC CA",17.0,",C",12.0,",C",0.0,",C",10.0,",C",19730128.0,",,C",19730119.0,",,C",81.0,",,C,28,",24.1,",,C,19,",95.6,",,,C",559.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,CA007026040,1950-12,45.0333,-73.0833,53.0,"PHILIPSBURG, QC CA",7.0,",C",7.0,",C",1.0,",C",5.0,",C",19501204.0,",,C",19501204.0,",,C",102.0,",,C,04,",49.8,",,C,04,",88.1,",,,C",305.0,",,,C",,,,,,,,,,,17.0,",C",0.0,",C",0.0,",C",,,,,19501204.0,",,C",,,,,14.4,",C,04,",,,,,,,-0.78,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,CA007026043,1980-12,46.0833,-72.8333,15.0,"PIERREVILLE, QC CA",13.0,"4,C",5.0,"4,C",0.0,"4,C",3.0,"5,C",19801228.0,",5,C",19801202.0,",4,C",80.0,"5,,C,28,",16.2,"4,,C,02,",56.6,"4,,,C",294.0,"5,,,C",,,0.0,",C",21.0,"2,C",16.0,",C",30.0,",C",28.0,",C",0.0,",C",0.0,",C",19801226.0,"+,,C",19801229.0,",2,C",19801201.0,",,C",-29.5,",C,26,+",180.0,"2,,C,29,",5.5,",C,01,",,,957.1,",C",-12.54,",C",-7.18,",,,C",-17.9,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,CA007026058,1947-03,46.2,-71.75,15.0,"PLESSISVILLE, QC CA",,,,,,,,,,,,,,,,,,,,,,,0.0,"2,C",,,0.0,"2,C",27.0,"2,C",9.0,"2,C",0.0,"2,C",0.0,"2,C",19470327.0,",2,C",,,19470325.0,",2,C",-15.6,"2,C,27,",,,8.3,"2,C,25,",,,598.2,"2,C",-2.29,"2,C",1.89,"2,,,C",-6.48,"2,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,CA007026073,1973-01,45.4667,-73.8,41.0,"POINTE CLAIRE, QC CA",17.0,",C",8.0,",C",0.0,",C",5.0,",C",19730128.0,",,C",19730122.0,",,C",163.0,",,C,28,",21.3,",,C,22,",78.0,",,,C",374.0,",,,C",0.0,C,0.0,",C",,,8.0,",C",30.0,",C",21.0,",C",0.0,",C",0.0,",C",19730131.0,",,C",,,19730119.0,",,C",-28.9,",C,31,",,,9.4,",C,19,",,,815.1,",C",-7.96,",C",-4.15,",,,C",-11.77,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,CA00702607F,1973-01,45.35,-73.9167,38.0,"POINTE DU MOULIN, QC CA",10.0,",C",6.0,",C",0.0,",C",4.0,",C",19730128.0,",,C",19730122.0,",,C",168.0,",,C,28,",21.6,",,C,22,",61.5,",,,C",277.0,",,,C",0.0,C,0.0,",C",,,8.0,",C",29.0,",C",19.0,",C",0.0,",C",0.0,",C",19730131.0,"+,,C",,,19730119.0,",,C",-28.9,",C,31,+",,,9.4,",C,19,",,,813.9,",C",-7.92,",C",-3.91,",,,C",-11.93,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,CA007026213,1973-01,45.5,-73.75,31.0,"POSTE SARAGUAY, QC CA",,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,"2,C",28.0,"2,C",,,,,,,19730131.0,",2,C",,,,,-32.8,"2,C,31,",,,,,,,,,,,,,-14.89,"2,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CA007026250,1973-11,46.15,-71.9167,160.0,"PRINCEVILLE, QC CA",13.0,",C",9.0,",C",0.0,",C",2.0,",C",19731111.0,",,C",19731124.0,",,C",64.0,",,C,11,",14.2,",,C,24,",74.6,",,,C",164.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,CA007026344,1973-12,45.3167,-71.5167,343.0,"RANBORO EST, QC CA",16.0,"2,C",11.0,"2,C",2.0,"2,C",5.0,",C",19731231.0,",,C",19731220.0,",2,C",127.0,",,C,31,",36.1,"2,,C,20,",153.3,"2,,,C",531.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CA007026345,1973-01,45.3167,-71.5333,343.0,"RANBORO SUD, QC CA",11.0,",C",11.0,",C",0.0,",C",9.0,",C",19730129.0,",,C",19730119.0,",,C",127.0,",,C,29,",23.4,",,C,19,",81.6,",,,C",579.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,CA007026465,1871-10,45.6333,-72.1333,123.0,"RICHMOND, QC CA",13.0,",C",8.0,",C",2.0,",C",0.0,",C",18711019.0,"+,,C",18711027.0,",,C",13.0,",,C,19,+",33.0,",,C,27,",114.7,",,,C",26.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CA007026612,1973-01,45.7,-73.5,9.0,"RIVIERE DES PRAIRIES, QC CA",,,,,,,,,,,,,,,,,,,,,0.0,C,0.0,"4,C",,,11.0,"2,C",28.0,"2,C",17.0,"3,C",0.0,"3,C",0.0,"3,C",19730131.0,",2,C",,,19730119.0,",3,C",-32.8,"2,C,31,",,,12.2,"3,C,19,",,,751.7,"3,C",-9.11,"4,C",-4.29,"3,,,C",-13.93,"2,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,CA007026700,1956-01,45.4333,-73.1,40.0,"ROUGEMONT, QC CA",0.0,"1,C",0.0,"1,C",0.0,"1,C",0.0,"1,C",19560131.0,"+,1,C",19560131.0,"+,1,C",0.0,"1,,C,31,+",0.0,"1,,C,31,+",0.0,"1,,,C",0.0,"1,,,C",0.0,C,0.0,"1,C",,,3.0,"1,C",30.0,"1,C",25.0,"1,C",0.0,"1,C",0.0,"1,C",19560101.0,",1,C",,,19560109.0,"+,1,C",-24.4,"1,C,01,",,,5.0,"1,C,09,+",,,802.3,"1,C",-8.41,"1,C",-4.76,"1,,,C",-12.06,"1,,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,CA007026730,1968-06,45.55,-72.5333,130.0,"ROXTON FALLS, QC CA",13.0,",C",8.0,",C",0.0,",C",0.0,",C",19680630.0,"+,,C",19680622.0,",,C",0.0,",,C,30,+",9.7,",,C,22,",53.4,",,,C",0.0,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,CA007026734,1975-10,45.2167,-73.2,38.0,"SABREVOIS, QC CA",11.0,",C",7.0,",C",0.0,",C",0.0,",C",19751030.0,",,C",19751019.0,",,C",0.0,",T,C,30,",20.6,",,C,19,",89.8,",,,C",0.0,",T,,C",,,0.0,",C",,,0.0,",C",7.0,",C",0.0,",C",1.0,",C",0.0,",C",19751031.0,",,C",,,19751001.0,",,C",-4.4,",C,31,",,,22.2,",C,01,",,,279.7,",C",9.31,",C",14.17,",,,C",4.45,",,,C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
