,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
13,US1COLR1237,2020-09,40.48933,-105.0803,1544.4,"FORT COLLINS 4.6 S, CO US",4.0,",N",2.0,",N",0.0,",N",1.0,"5,N",20200909.0,",5,N",20200909.0,",,N",58.0,"5,,N,09,",20.1,",,N,09,",27.4,",,,N",58.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,US1COLR1239,2020-08,40.3383,-105.0878,1564.5,"BERTHOUD 2.3 N, CO US",6.0,",N",0.0,",N",0.0,",N",,,,,20200829.0,",,N",,,1.5,",,N,29,",3.4,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,US1COLR1240,2020-09,40.387048,-105.30894,2044.9,"LOVELAND 12.7 W, CO US",6.0,"3,N",3.0,"3,N",0.0,"3,N",,,,,20200909.0,",3,N",,,16.3,"3,,N,09,",27.5,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,US1COLR1242,2020-08,40.599873,-105.118172,1548.1,"LAPORTE 1.5 SSE, CO US",8.0,",N",2.0,",N",0.0,",N",0.0,"5,N",20200831.0,"+,5,N",20200802.0,",,N",0.0,"5,,N,31,+",4.3,",,N,02,",11.2,",,,N",0.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,US1COLR1244,2021-09,40.542282,-105.025734,1501.1,"FORT COLLINS 2.4 ESE, CO US",6.0,",N",1.0,",N",0.0,",N",,,,,20210914.0,",,N",,,4.8,",,N,14,",10.2,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,US1COLR1245,2021-05,40.6861,-105.3047,1732.5,"BELLVUE 8.1 WNW, CO US",14.0,"1,N",8.0,"1,N",1.0,"1,N",,,,,20210510.0,",1,N",,,30.7,"1,,N,10,",126.7,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,US1COLR1246,2020-12,40.526694,-105.12182,1558.1,"FORT COLLINS 3.4 SW, CO US",5.0,",N",2.0,",N",0.0,",N",1.0,"4,N",20201229.0,",4,N",20201229.0,",,N",64.0,"4,,N,29,",7.4,",,N,29,",15.3,",,,N",64.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,US1COLR1247,2021-02,40.522749,-105.06793,1528.3,"FORT COLLINS 2.3 S, CO US",5.0,"4,N",3.0,"4,N",0.0,"4,N",3.0,"4,N",20210218.0,",4,N",20210218.0,",4,N",89.0,"4,,N,18,",8.6,"4,,N,18,",21.8,"4,,,N",210.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,US1COLR1249,2021-01,40.7561,-105.4256,2283.6,"LIVERMORE 10.2 W, CO US",5.0,"3,N",2.0,"3,N",0.0,"3,N",2.0,"4,N",20210110.0,",4,N",20210110.0,",3,N",89.0,"4,,N,10,",5.6,"3,,N,10,",11.3,"3,,,N",180.0,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,US1COLR1250,2021-06,40.602602,-105.132986,1560.0,"FORT COLLINS 4.7 NW, CO US",7.0,"2,N",1.0,"2,N",0.0,"2,N",,,,,20210626.0,",2,N",,,6.4,"2,,N,26,",11.0,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,US1COLR1252,2021-03,40.380079,-105.124237,1540.2,"LOVELAND 3.8 SW, CO US",8.0,",N",3.0,",N",2.0,",N",3.0,"5,N",20210315.0,",5,N",20210314.0,",,N",305.0,"5,,N,15,",35.1,",,N,14,",79.1,",,,N",640.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,US1COLR1253,2021-05,40.48055,-105.19995,1655.4,"LOVELAND 8.0 WNW, CO US",11.0,",N",10.0,",N",2.0,",N",,,,,20210531.0,",,N",,,38.6,",,N,31,",129.4,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,US1COLR1257,2021-06,40.4747247,-105.3423977,2432.0,"DRAKE 3.2 NNW, CO US",,,,,,,,,,,,,,,,,61.3,"4,a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,US1COLR1262,2021-05,40.566848,-105.111088,1548.1,"FORT COLLINS 1.9 SW, CO US",12.0,"1,N",8.0,"1,N",2.0,"1,N",,,,,20210511.0,",1,N",,,35.1,"1,,N,11,",125.6,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,US1COLR1264,2021-08,40.696568,-105.601022,2210.7,"RUSTIC 1.6 W, CO US",7.0,",N",3.0,",N",0.0,",N",,,,,20210804.0,",,N",,,10.4,",,N,04,",24.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,US1COLR1267,2021-10,40.4617435,-105.4192078,2124.5,"GLEN HAVEN 1.0 NE, CO US",4.0,"2,N",0.0,"2,N",0.0,"2,N",,,,,20211008.0,",2,N",,,1.8,"2,,N,08,",5.1,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,US1COLR1268,2021-05,40.473333,-105.44332,2285.4,"GLEN HAVEN 1.8 NNW, CO US",12.0,",N",8.0,",N",0.0,",N",0.0,"5,N",20210531.0,"+,5,N",20210531.0,",,N",0.0,"5,,N,31,+",22.1,",,N,31,",83.3,",,,N",0.0,"5,,,N",0.0,"5,N",20210531.0,"+,5,N",0.0,"5,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,US1COLR1272,2021-06,40.3563,-105.546462,2391.8,"ESTES PARK 1.7 SW, CO US",7.0,"4,N",5.0,"4,N",0.0,"4,N",,,,,20210629.0,",4,N",,,17.3,"4,,N,29,",38.6,"4,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,US1COLR1273,2021-06,40.591593,-105.12241,1544.7,"FORT COLLINS 3.8 NW, CO US",,,,,,,,,,,,,,,,,10.5,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,US1COLR1276,2021-06,40.488238,-105.055193,1511.5,"FORT COLLINS 4.7 S, CO US",6.0,",N",1.0,",N",0.0,",N",,,,,20210626.0,",,N",,,5.8,",,N,26,",8.5,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,US1COLR1279,2023-08,40.540827,-105.089501,1543.5,"FORT COLLINS 1.5 SW, CO US",14.0,"5,N",6.0,"5,N",2.0,"5,N",,,,,20230803.0,",5,N",,,25.9,"5,,N,03,",117.8,",a,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,US1COLR1280,2021-11,40.531918,-105.09318,1550.2,"FORT COLLINS 2.1 SW, CO US",1.0,"3,N",1.0,"3,N",0.0,"3,N",,,,,20211103.0,",3,N",,,4.1,"3,,N,03,",4.1,"3,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,US1COLR1281,2022-01,40.4154483,-105.1183352,1553.6,"LOVELAND 2.5 W, CO US",,,,,,,4.0,"5,N",20220101.0,",5,N",,,208.0,"5,,N,01,",,,,,504.0,"5,,,N",31.0,",N",20220107.0,",,N",254.0,",,N,07,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,US1COLR1283,2022-06,40.2999,-105.0624,1520.6,"BERTHOUD 1.1 ESE, CO US",2.0,"5,N",2.0,"5,N",0.0,"5,N",,,,,20220601.0,",5,N",,,16.8,"5,,N,01,",19.8,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,US1COLR1290,2022-06,40.4463116,-105.1003607,1550.8,"LOVELAND 2.4 NW, CO US",8.0,"1,N",4.0,"1,N",0.0,"1,N",,,,,20220601.0,",1,N",,,13.2,"1,,N,01,",29.8,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,US1COLR1292,2023-05,40.5445,-105.0639,1523.4,"FORT COLLINS 0.8 SSE, CO US",14.0,",N",6.0,",N",1.0,",N",,,,,20230512.0,",,N",,,39.4,",,N,12,",94.3,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,US1COLR1295,2022-06,40.274167,-105.101389,1533.1,"BERTHOUD 2.4 SSW, CO US",7.0,",N",2.0,",N",0.0,",N",,,,,20220601.0,",,N",,,17.5,",,N,01,",25.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,US1COLR1298,2022-08,40.619767,-105.038252,1540.8,"FORT COLLINS 4.7 NNE, CO US",6.0,",N",1.0,",N",0.0,",N",,,,,20220816.0,",,N",,,5.1,",,N,16,",9.1,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,US1COLR1302,2022-09,40.56813,-105.12283,1557.5,"FORT COLLINS 3.0 WNW, CO US",7.0,"2,N",3.0,"2,N",0.0,"2,N",,,,,20220910.0,",2,N",,,13.7,"2,,N,10,",30.8,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,US1COLR1304,2022-08,40.510567,-105.059309,,"FORT COLLINS 3.1 S, CO US",8.0,",N",2.0,",N",0.0,",N",,,,,20220814.0,",,N",,,6.4,",,N,14,",14.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,US1COLR1306,2022-09,40.635372,-105.074488,1542.0,"FORT COLLINS 5.5 N, CO US",6.0,"2,N",4.0,"2,N",0.0,"2,N",,,,,20220903.0,",2,N",,,11.9,"2,,N,03,",38.9,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,US1COLR1307,2022-09,40.2705,-105.426,2318.9,"LYONS 8.9 WNW, CO US",6.0,",N",2.0,",N",0.0,",N",,,,,20220922.0,",,N",,,9.7,",,N,22,",19.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,US1COLR1309,2022-10,40.270936,-105.361306,2065.3,"LYONS 5.9 NW, CO US",9.0,",N",4.0,",N",0.0,",N",,,,,20221001.0,",,N",,,16.5,",,N,01,",33.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,US1COLR1310,2023-06,40.548896,-105.069946,1530.7,"FORT COLLINS 0.5 SSW, CO US",14.0,"2,N",10.0,"2,N",1.0,"2,N",,,,,20230612.0,",2,N",,,34.5,"2,,N,12,",141.8,"2,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,US1COLR1311,2022-10,40.382943,-105.130876,1543.8,"LOVELAND 4.0 SW, CO US",5.0,",N",0.0,",N",0.0,",N",0.0,"5,N",20221031.0,"+,5,N",20221001.0,",,N",0.0,"5,,N,31,+",2.0,",,N,01,",5.1,",,,N",0.0,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,US1COLR1316,2023-02,40.5944667,-105.0858093,1524.9,"FORT COLLINS 2.8 NNW, CO US",4.0,",N",2.0,",N",0.0,",N",2.0,",N",20230222.0,",,N",20230222.0,",,N",38.0,",,N,22,",3.8,",,N,22,",8.2,",,,N",92.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,US1COLR1317,2023-03,40.75375,-105.44183,2284.8,"LIVERMORE 11.1 W, CO US",10.0,",N",2.0,",N",0.0,",N",,,,,20230327.0,",,N",,,5.8,",,N,27,",20.9,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,US1COLR1319,2023-03,40.543307,-105.025832,1499.9,"FORT COLLINS 2.4 ESE, CO US",6.0,"5,N",3.0,"5,N",0.0,"5,N",,,,,20230327.0,",5,N",,,13.5,"5,,N,27,",26.3,"5,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,US1COLR1327,2023-05,40.539764835012,-105.03349617686,1508.5,"FORT COLLINS 2.1 ESE, CO US",13.0,"1,N",6.0,"1,N",1.0,"1,N",,,,,20230512.0,",1,N",,,40.6,"1,,N,12,",94.7,"1,,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,US1COLR1328,2023-05,40.5743006,-104.9812394,1514.2,"TIMNATH 3.1 N, CO US",16.0,",N",8.0,",N",2.0,",N",,,,,20230512.0,",,N",,,39.1,",,N,12,",120.8,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,US1COME0003,2003-04,39.177895,-108.61869,1448.1,"GRAND JUNCTION 8 NNW, CO US",5.0,",N",0.0,",N",0.0,",N",0.0,",N",20030404.0,",,N",20030418.0,",,N",0.0,",T,N,04,",2.0,",,N,18,",4.1,",,,N",0.0,",T,,N",0.0,",N",20030430.0,"+,,N",0.0,",,N,30,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,US1COME0007,2003-10,39.2222,-108.7063,1427.1,"FRUITA 4.5 NNE, CO US",3.0,"1,N",1.0,"1,N",0.0,"1,N",0.0,"1,N",20031031.0,"+,1,N",20031004.0,",1,N",0.0,"1,,N,31,+",2.5,"1,,N,04,",3.8,"1,,,N",0.0,"1,,,N",0.0,"1,N",20031031.0,"+,1,N",0.0,"1,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,US1COME0008,2003-05,39.0724,-108.4435,1417.3,"CLIFTON 1.4 SSE, CO US",5.0,",N",5.0,",N",0.0,",N",0.0,",N",20030531.0,"+,,N",20030503.0,",,N",0.0,",,N,31,+",20.6,",,N,03,",46.0,",,,N",0.0,",,,N",0.0,",N",20030531.0,"+,,N",0.0,",,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,US1COME0010,2003-12,39.1791,-108.6569,1420.1,"FRUITA 4.1 ENE, CO US",5.0,"4,N",1.0,"4,N",0.0,"4,N",1.0,"3,N",20031231.0,",3,N",20031208.0,",4,N",32.0,"3,,N,31,",7.9,"4,,N,08,",13.5,"4,,,N",51.0,"3,,,N",1.0,"3,N",20031231.0,",3,N",32.0,"3,,N,31,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,US1COME0011,2003-08,39.1028,-108.6995,1477.1,"GRAND JUNCTION 7.7 WNW, CO US",6.0,"4,N",2.0,"4,N",0.0,"4,N",0.0,"3,N",20030831.0,"+,3,N",20030801.0,",4,N",0.0,"3,,N,31,+",13.7,"4,,N,01,",22.1,"4,,,N",0.0,"3,,,N",0.0,"3,N",20030831.0,"+,3,N",0.0,"3,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,US1COME0012,2003-08,39.0928,-108.4917,1439.9,"GRAND JUNCTION 4 ENE, CO US",6.0,"1,N",1.0,"1,N",0.0,"1,N",0.0,"1,N",20030831.0,"+,1,N",20030813.0,",1,N",0.0,"1,,N,31,+",6.6,"1,,N,13,",11.9,"1,,,N",0.0,"1,,,N",0.0,"1,N",20030831.0,"+,1,N",0.0,"1,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,US1COME0013,2003-09,39.0508,-108.5368,1420.1,"GRAND JUNCTION 2.7 SSE, CO US",5.0,",N",3.0,",N",0.0,",N",0.0,",N",20030930.0,"+,,N",20030910.0,",,N",0.0,",,N,30,+",12.4,",,N,10,",20.9,",,,N",0.0,",,,N",0.0,",N",20030930.0,"+,,N",0.0,",,N,30,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,US1COME0014,2003-10,39.0526,-108.6389,1481.0,"GRAND JUNCTION 4.3 WSW, CO US",2.0,"4,N",1.0,"4,N",0.0,"4,N",0.0,"4,N",20031031.0,"+,4,N",20031002.0,",4,N",0.0,"4,,N,31,+",3.3,"4,,N,02,",4.1,"4,,,N",0.0,"4,,,N",0.0,"4,N",20031031.0,"+,4,N",0.0,"4,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,US1COME0015,2003-08,39.0933,-108.6412,1386.8,"GRAND JUNCTION 4.5 WNW, CO US",7.0,"2,N",3.0,"2,N",0.0,"2,N",0.0,"2,N",20030831.0,"+,2,N",20030801.0,",2,N",0.0,"2,,N,31,+",9.1,"2,,N,01,",23.8,"2,,,N",0.0,"2,,,N",0.0,"2,N",20030831.0,"+,2,N",0.0,"2,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,US1COME0018,2003-09,39.1617,-108.7325,1381.0,"FRUITA .3 NW, CO US",5.0,",N",4.0,",N",0.0,",N",0.0,",N",20030930.0,"+,,N",20030907.0,",,N",0.0,",,N,30,+",15.5,",,N,07,",35.5,",,,N",0.0,",,,N",0.0,",N",20030930.0,"+,,N",0.0,",,N,30,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,US1COME0021,2004-04,39.0319,-108.5503,1441.1,"GRAND JUNCTION 2.8 SSE, CO US",8.0,"4,N",5.0,"4,N",0.0,"4,N",0.0,"4,N",20040430.0,"+,4,N",20040430.0,",4,N",0.0,"4,,N,30,+",22.1,"4,,N,30,",73.0,"4,,,N",0.0,"4,,,N",0.0,"4,N",20040430.0,"+,4,N",0.0,"4,,N,30,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,US1COME0023,2003-08,39.2976,-108.8685,1424.9,"MACK 5 N, CO US",7.0,"1,N",2.0,"1,N",0.0,"1,N",0.0,"1,N",20030831.0,"+,1,N",20030823.0,",1,N",0.0,"1,,N,31,+",9.9,"1,,N,23,",16.9,"1,,,N",0.0,"1,,,N",0.0,"1,N",20030831.0,"+,1,N",0.0,"1,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,US1COME0024,2004-06,39.263019,-108.931904,1408.2,"MACK 5 NW, CO US",1.0,",N",1.0,",N",0.0,",N",0.0,",N",20040630.0,"+,,N",20040617.0,",,N",0.0,",,N,30,+",8.1,",,N,17,",8.1,",,,N",0.0,",,,N",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,US1COME0025,2003-07,39.0715,-108.5596,1407.9,"GRAND JUNCTION .1 E, CO US",1.0,",N",0.0,",N",0.0,",N",0.0,",N",20030731.0,"+,,N",20030726.0,",,N",0.0,",,N,31,+",2.0,",,N,26,",2.0,",,,N",0.0,",,,N",0.0,",N",20030731.0,"+,,N",0.0,",,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,US1COME0028,2004-03,39.0735,-108.5514,1413.1,"GRAND JUNCTION .61 E, CO US",3.0,"5,N",0.0,"5,N",0.0,"5,N",0.0,"5,N",20040331.0,"+,5,N",20040301.0,",5,N",0.0,"5,,N,31,+",0.5,"5,,N,01,",1.1,"5,,,N",0.0,"5,,,N",0.0,"5,N",20040331.0,"+,5,N",0.0,"5,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,US1COME0042,2004-05,39.15,-107.935,2493.0,"COLLBRAN 6.4 S, CO US",3.0,",N",3.0,",N",0.0,",N",0.0,",N",20040531.0,"+,,N",20040513.0,",,N",0.0,",,N,31,+",6.1,",,N,13,",13.8,",,,N",0.0,",,,N",0.0,",N",20040531.0,"+,,N",0.0,",,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,US1COME0044,2004-05,39.119921,-108.525193,1471.6,"GRAND JUNCTION REGIONAL AIRPORT, CO US",1.0,"5,N",0.0,"5,N",0.0,"5,N",0.0,"5,N",20040531.0,"+,5,N",20040512.0,",5,N",0.0,"5,,N,31,+",0.3,"5,,N,12,",0.3,"5,,,N",0.0,"5,,,N",0.0,"5,N",20040531.0,"+,5,N",0.0,"5,,N,31,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,US1COME0045,2004-06,39.0878,-108.4811,1439.9,"GRAND JUNCTION 4.4 ENE, CO US",1.0,"4,N",0.0,"4,N",0.0,"4,N",0.0,"4,N",20040630.0,"+,4,N",20040627.0,",4,N",0.0,"4,,N,30,+",0.5,"4,,N,27,",0.5,"4,,,N",0.0,"4,,,N",0.0,"4,N",20040630.0,"+,4,N",0.0,"4,,N,30,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
