,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,AWND,AWND_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES
10,JA000047584,1951-01,39.7,141.167,155.0,"MORIOKA, JA",0.0,I,0.0,",I",9.0,",I",0.0,",I",0.0,",I",,,0.0,",I",31.0,",I",14.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510124.0,",,I",19510129.0,",,I",-14.4,",I,15,",,,1.8,",,I,24,",5.1,",I,29,",,,697.3,",I",8.9,",,,I",-4.16,",I",0.3,",,,I",-8.62,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,JA000047585,1951-01,39.65,141.967,46.0,"MIYAKO, JA",0.0,I,0.0,",I",5.0,",I",1.0,",I",0.0,",I",,,0.0,",I",31.0,",I",6.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510111.0,",,I",19510119.0,",,I",-11.3,",I,15,",,,2.8,",,I,11,",9.2,",I,19,",,,605.3,",I",6.5,",,,I",-1.19,",I",3.35,",,,I",-5.73,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,JA000047587,1971-01,38.8,139.783,26.0,"SHONAI, JA",0.0,I,0.0,",I",27.0,",I",14.0,",I",0.0,",I",,,0.0,",I",24.0,",I",0.0,",I",0.0,",I",0.0,",I",19710111.0,",,I",,,19710116.0,",,I",19710122.0,",,I",-7.8,",I,11,",,,17.5,",,I,16,",8.3,",I,22,",,,528.8,",I",121.5,",,,I",1.28,",I",4.12,",,,I",-1.57,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,JA000047588,1951-01,38.25,140.35,153.0,"YAMAGATA, JA",0.0,I,0.0,",I",23.0,",I",10.0,",I",0.0,",I",,,0.0,",I",30.0,",I",11.0,",I",0.0,",I",0.0,",I",19510116.0,",,I",,,19510101.0,",,I",19510120.0,"+,,I",-10.3,",I,16,",,,9.9,",,I,01,",4.8,",I,20,+",,,645.5,",I",68.1,",,,I",-2.49,",I",0.87,",,,I",-5.85,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,JA000047590,1951-01,38.267,140.9,43.0,"SENDAI, JA",0.0,I,0.0,",I",6.0,",I",3.0,",I",0.0,",I",,,0.0,",I",31.0,",I",5.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510111.0,",,I",19510128.0,",,I",-8.8,",I,15,",,,8.0,",,I,11,",8.1,",I,28,",,,585.2,",I",25.2,",,,I",-0.54,",I",3.26,",,,I",-4.35,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,JA000047592,1951-01,38.433,141.3,43.0,"ISHINOMAKI, JA",0.0,I,0.0,",I",9.0,",I",3.0,",I",0.0,",I",,,0.0,",I",31.0,",I",7.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510111.0,",,I",19510128.0,",,I",-9.6,",I,15,",,,8.9,",,I,11,",7.2,",I,28,",,,608.7,",I",20.9,",,,I",-1.3,",I",2.11,",,,I",-4.72,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,JA000047595,1951-01,37.233,140.433,375.0,"FUKUSHIMA AIRPORT, JA",0.0,I,0.0,",I",10.0,",I",5.0,",I",0.0,",I",,,0.0,",I",28.0,",I",1.0,",I",0.0,",I",0.0,",I",19510116.0,",,I",,,19510110.0,",,I",19510112.0,",,I",-10.3,",I,16,",,,10.0,",,I,10,",11.3,",I,12,",,,563.3,",I",38.9,",,,I",0.16,",I",4.54,",,,I",-4.22,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,JA000047597,1951-01,37.133,140.217,357.0,"SHIRAKAWA, JA",0.0,I,0.0,",I",8.0,",I",4.0,",I",0.0,",I",,,0.0,",I",30.0,",I",4.0,",I",0.0,",I",0.0,",I",19510116.0,",,I",,,19510110.0,",,I",19510130.0,",,I",-13.4,",I,16,",,,15.5,",,I,10,",9.1,",I,30,",,,600.6,",I",38.1,",,,I",-1.04,",I",3.24,",,,I",-5.32,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,JA000047598,1951-01,36.95,140.9,5.0,"ONAHAMA, JA",0.0,I,0.0,",I",7.0,",I",5.0,",I",0.0,",I",,,0.0,",I",26.0,",I",0.0,",I",0.0,",I",0.0,",I",19510122.0,",,I",,,19510110.0,",,I",19510125.0,",,I",-5.7,",I,22,",,,17.2,",,I,10,",12.2,",I,25,",,,491.1,",I",46.4,",,,I",2.49,",I",7.0,",,,I",-2.02,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,JA000047600,1961-01,37.4,136.9,15.0,"WAJIMA, JA",0.0,G,0.0,"2,G",29.0,",I",27.0,",I",4.0,",I",,,0.0,"1,G",20.0,"1,G",0.0,"1,G",0.0,"1,G",0.0,"1,G",19610112.0,",1,G",,,19610117.0,",,I",19610121.0,",1,G",-3.7,"1,G,12,",,,39.0,",,I,17,",7.8,"1,G,21,",,,474.0,"1,G",373.0,",,,I",1.95,"2,G",4.75,"1,,,G",-0.85,"1,,,G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,JA000047602,1951-01,38.033,138.233,17.0,"AIKAWA, JA",0.0,I,0.0,",I",19.0,",I",11.0,",I",0.0,",I",,,0.0,",I",20.0,",I",3.0,",I",0.0,",I",0.0,",I",19510121.0,",,I",,,19510121.0,",,I",19510119.0,",,I",-4.8,",I,21,",,,22.9,",,I,21,",9.8,",I,19,",,,524.9,",I",95.1,",,,I",1.4,",I",3.75,",,,I",-0.95,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,JA000047604,1951-01,37.917,139.05,6.0,"NIIGATA, JA",0.0,I,0.0,",I",21.0,",I",17.0,",I",0.0,",I",,,0.0,",I",25.0,",I",1.0,",I",0.0,",I",0.0,",I",19510107.0,",,I",,,19510121.0,",,I",19510112.0,",,I",-7.6,",I,07,",,,16.2,",,I,21,",6.4,",I,12,",,,551.1,",I",143.1,",,,I",0.56,",I",3.15,",,,I",-2.04,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,JA000047605,1951-01,36.583,136.633,33.0,"KANAZAWA, JA",0.0,I,0.0,",I",23.0,",I",19.0,",I",0.0,",I",,,0.0,",I",18.0,",I",0.0,",I",0.0,",I",0.0,",I",19510122.0,"+,,I",,,19510113.0,",,I",19510129.0,",,I",-3.8,",I,22,+",,,19.6,",,I,13,",9.6,",I,29,",,,490.3,",I",219.8,",,,I",2.52,",I",5.41,",,,I",-0.38,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,JA000047606,1951-01,36.8,137.05,13.0,"FUSHIKI, JA",0.0,I,0.0,",I",25.0,",I",21.0,",I",1.0,",I",,,0.0,",I",21.0,",I",1.0,",I",0.0,",I",0.0,",I",19510116.0,",,I",,,19510122.0,",,I",19510116.0,",,I",-6.3,",I,16,",,,31.5,",,I,22,",8.6,",I,16,",,,516.8,",I",290.5,",,,I",1.66,",I",4.66,",,,I",-1.34,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,JA000047607,1951-01,36.717,137.2,17.0,"TOYAMA, JA",0.0,I,0.0,",I",25.0,",I",19.0,",I",3.0,",I",,,0.0,",I",22.0,",I",2.0,",I",0.0,",I",0.0,",I",19510114.0,",,I",,,19510122.0,",,I",19510129.0,",,I",-9.1,",I,14,",,,33.6,",,I,22,",8.9,",I,29,",,,526.1,",I",269.9,",,,I",1.36,",I",4.52,",,,I",-1.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,JA000047610,1951-01,36.667,138.2,419.0,"NAGANO, JA",0.0,I,0.0,",I",16.0,",I",3.0,",I",0.0,",I",,,0.0,",I",31.0,",I",10.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510110.0,",,I",19510129.0,",,I",-14.5,",I,15,",,,21.3,",,I,10,",6.8,",I,29,",,,654.5,",I",63.6,",,,I",-2.78,",I",1.82,",,,I",-7.38,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,JA000047612,1951-01,37.1,138.25,18.0,"TAKADA, JA",0.0,I,0.0,",I",27.0,",I",17.0,",I",7.0,",I",,,0.0,",I",27.0,",I",0.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510105.0,",,I",19510129.0,",,I",-6.5,",I,15,",,,44.3,",,I,05,",11.0,",I,29,",,,530.1,",I",360.3,",,,I",1.23,",I",4.55,",,,I",-2.08,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,JA000047615,1951-01,36.55,139.867,140.0,"UTSUNOMIYA, JA",0.0,I,0.0,",I",5.0,",I",4.0,",I",0.0,",I",,,0.0,",I",29.0,",I",0.0,",I",0.0,",I",0.0,",I",19510102.0,",,I",,,19510110.0,",,I",19510125.0,",,I",-9.3,",I,02,",,,15.0,",,I,10,",12.2,",I,25,",,,544.4,",I",31.9,",,,I",0.77,",I",6.94,",,,I",-5.39,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,JA000047616,1951-01,36.05,136.217,17.0,"FUKUI, JA",0.0,I,0.0,",I",24.0,",I",19.0,",I",2.0,",I",,,0.0,",I",20.0,",I",0.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510101.0,",,I",19510120.0,",,I",-6.8,",I,15,",,,34.8,",,I,01,",10.0,",I,20,",,,494.5,",I",245.0,",,,I",2.38,",I",5.66,",,,I",-0.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,JA000047617,1951-01,36.15,137.25,561.0,"TAKAYAMA, JA",0.0,I,0.0,",I",17.0,",I",9.0,",I",0.0,",I",,,1.0,",I",30.0,",I",8.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510110.0,",,I",19510130.0,",,I",-18.0,",I,15,",,,25.3,",,I,10,",7.4,",I,30,",,,680.3,",I",109.2,",,,I",-3.61,",I",2.11,",,,I",-9.34,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,JA000047618,1951-01,36.25,137.967,611.0,"MATSUMOTO, JA",0.0,I,0.0,",I",9.0,",I",2.0,",I",0.0,",I",,,1.0,",I",29.0,",I",4.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510110.0,",,I",19510128.0,"+,,I",-17.9,",I,15,",,,23.6,",,I,10,",8.3,",I,28,+",,,635.5,",I",36.9,",,,I",-2.17,",I",3.19,",,,I",-7.52,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,JA000047620,1951-01,36.05,138.117,762.0,"SUWA, JA",0.0,I,0.0,",I",5.0,",I",4.0,",I",1.0,",I",,,0.0,",I",31.0,",I",6.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510110.0,",,I",19510128.0,",,I",-16.9,",I,15,",,,37.5,",,I,10,",7.1,",I,28,",,,682.1,",I",52.4,",,,I",-3.67,",I",1.8,",,,I",-9.14,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,JA000047622,1951-01,36.35,138.55,1004.0,"KARUIZAWA, JA",,,,,7.0,",I",5.0,",I",1.0,",I",,,,,,,,,,,,,,,,,19510110.0,",,I",,,,,,,27.8,",,I,10,",,,,,,,46.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,JA000047624,1951-01,36.4,139.067,113.0,"MAEBASHI, JA",0.0,I,0.0,",I",4.0,",I",2.0,",I",0.0,",I",,,0.0,",I",25.0,",I",0.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510110.0,",,I",19510130.0,"+,,I",-6.6,",I,15,",,,16.9,",,I,10,",11.8,",I,30,+",,,493.8,",I",22.8,",,,I",2.4,",I",7.3,",,,I",-2.49,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,JA000047626,1951-01,36.15,139.383,31.0,"KUMAGAYA, JA",0.0,I,0.0,",I",5.0,",I",3.0,",I",0.0,",I",,,0.0,",I",25.0,",I",0.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510110.0,",,I",19510129.0,",,I",-7.1,",I,15,",,,14.6,",,I,10,",13.9,",I,29,",,,487.5,",I",25.2,",,,I",2.61,",I",8.15,",,,I",-2.94,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,JA000047629,1951-01,36.383,140.467,31.0,"MITO, JA",0.0,I,0.0,",I",8.0,",I",5.0,",I",0.0,",I",,,0.0,",I",28.0,",I",0.0,",I",0.0,",I",0.0,",I",19510122.0,"+,,I",,,19510110.0,",,I",19510120.0,",,I",-7.8,",I,22,+",,,15.3,",,I,10,",13.3,",I,20,",,,499.8,",I",43.3,",,,I",2.21,",I",8.19,",,,I",-3.77,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,JA000047631,1951-01,35.65,136.067,12.0,"TSURUGA, JA",0.0,I,0.0,"2,I",23.0,",I",16.0,",I",1.0,",I",,,0.0,"1,I",10.0,"1,I",0.0,"1,I",0.0,"1,I",0.0,"1,I",19510115.0,",1,I",,,19510121.0,",,I",19510130.0,",1,I",-4.9,"1,I,15,",,,33.3,",,I,21,",13.9,"1,I,30,",,,416.1,"1,I",221.4,",,,I",3.97,"2,I",7.32,"1,,,I",0.63,"1,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,JA000047632,1951-01,35.4,136.767,17.0,"GIFU, JA",0.0,I,0.0,",I",8.0,",I",4.0,",I",1.0,",I",,,0.0,",I",17.0,",I",0.0,",I",0.0,",I",0.0,",I",19510123.0,",,I",,,19510110.0,",,I",19510130.0,",,I",-6.2,",I,23,",,,28.5,",,I,10,",12.7,",I,30,",,,450.9,",I",60.1,",,,I",3.79,",I",8.11,",,,I",-0.54,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,JA000047636,1951-01,35.167,136.967,56.0,"NAGOYA, JA",0.0,I,0.0,",I",7.0,",I",4.0,",I",0.0,",I",,,0.0,",I",23.0,",I",0.0,",I",0.0,",I",0.0,",I",19510123.0,",,I",,,19510110.0,",,I",19510130.0,",,I",-5.8,",I,23,",,,22.7,",,I,10,",13.3,",I,30,",,,454.0,",I",42.9,",,,I",3.69,",I",8.29,",,,I",-0.91,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,JA000047637,1951-01,35.517,137.817,529.0,"IIDA, JA",0.0,I,0.0,",I",7.0,",I",4.0,",I",1.0,",I",,,0.0,",I",28.0,",I",0.0,",I",0.0,",I",0.0,",I",19510115.0,",,I",,,19510110.0,",,I",19510130.0,",,I",-9.3,",I,15,",,,31.1,",,I,10,",12.4,",I,30,",,,543.6,",I",68.4,",,,I",0.8,",I",6.06,",,,I",-4.46,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,JA000047638,1951-01,35.667,138.55,281.0,"KOFU, JA",0.0,I,0.0,",I",3.0,",I",1.0,",I",0.0,",I",,,0.0,",I",27.0,",I",0.0,",I",0.0,",I",0.0,",I",19510123.0,",,I",,,19510110.0,",,I",19510120.0,",,I",-8.8,",I,23,",,,12.2,",,I,10,",14.1,",I,20,",,,496.0,",I",14.0,",,,I",2.33,",I",8.75,",,,I",-4.08,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
