,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES
10,BR002750010,1959-10,-27.16,-50.47,980.0,"PONTE ALTA DO NORTE, BR",5.0,",I",5.0,",I",0.0,",I",19591028.0,",,I",24.3,",,I,28,",65.0,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BR002750011,1957-07,-27.48,-50.38,840.0,"PONTE ALTA DO SUL, BR",10.0,",I",10.0,",I",3.0,",I",19570730.0,",,I",44.9,",,I,30,",187.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,BR002750012,1961-09,-27.34,-50.43,940.0,"PONTE DO RIO ANTINHAS, BR",15.0,",I",14.0,",I",8.0,",I",19610928.0,",,I",53.2,",,I,28,",375.3,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BR002750013,1959-05,-27.07,-50.65,800.0,"PONTE DO RIO CORRENTE, BR",9.0,",I",8.0,",I",1.0,",I",19590518.0,",,I",29.0,",,I,18,",67.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BR002750014,1966-07,-27.1,-50.03,370.0,"BARRAGEM OESTE, BR",5.0,",I",3.0,",I",0.0,",I",19660723.0,",,I",21.6,",,I,23,",35.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BR002750020,1976-04,-27.66,-50.58,920.0,"SAO JOSE DO CERRITO, BR",5.0,",I",3.0,",I",0.0,",I",19760420.0,",,I",7.4,",,I,20,",23.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BR002750021,1984-05,-27.14,-50.26,900.0,"CABECEIRA RIBEIRAO CAETANO, BR",11.0,",I",9.0,",I",2.0,",I",19840514.0,",,I",28.6,",,I,14,",116.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BR002750022,1985-03,-27.12,-50.46,0.0,"PONTE ALTA DO NORTE CIFSUL, BR",12.0,",I",9.0,",I",0.0,",I",19850325.0,",,I",23.7,",,I,25,",93.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BR002751001,1964-03,-27.69,-51.13,800.0,"ANITA GARIBALDI, BR",4.0,",I",4.0,",I",0.0,",I",19640302.0,",,I",25.0,",,I,02,",63.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BR002751004,1943-04,-27.17,-51.5,560.0,"JOACABA, BR",5.0,",I",3.0,",I",1.0,",I",19430410.0,",,I",27.0,",,I,10,",39.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BR002751006,1957-11,-27.7,-51.77,600.0,"PAIM FILHO, BR",8.0,",I",8.0,",I",0.0,",I",19571117.0,",,I",22.6,",,I,17,",122.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BR002751007,1957-07,-27.95,-51.81,687.0,"SANANDUVA, BR",8.0,"2,I",8.0,"2,I",1.0,"2,I",19570720.0,",2,I",27.8,"2,,I,20,",114.6,"2,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BR002751011,1976-04,-27.05,-51.91,1040.0,"IRANI, BR",4.0,",I",4.0,",I",0.0,",I",19760421.0,",,I",7.2,",,I,21,",25.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BR002751012,1976-05,-27.34,-51.61,498.0,"CAPINZAL, BR",12.0,",I",8.0,",I",2.0,",I",19760527.0,",,I",53.0,",,I,27,",133.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BR002751015,1978-01,-27.68,-51.46,754.0,"BARRACAO, BR",12.0,"1,I",10.0,"1,I",2.0,"1,I",19780120.0,",1,I",76.6,"1,,I,20,",217.6,"1,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BR002751017,1976-06,-28.0,-51.45,950.0,"CLEMENTE ARGOLO, BR",9.0,",I",6.0,",I",1.0,",I",19760627.0,",,I",30.1,",,I,27,",54.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BR002751018,1987-09,-27.46,-51.9,420.0,"MARCELINO RAMOS, BR",8.0,",I",5.0,",I",0.0,",I",19870903.0,",,I",18.5,",,I,03,",62.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BR002752003,1964-04,-27.12,-52.67,500.0,"USINA CHAPECO FLCSA, BR",6.0,",I",6.0,",I",1.0,",I",19640428.0,",,I",76.2,",,I,28,",107.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BR002752004,1957-08,-27.117,-52.617,679.0,"CHAPECO, BR",8.0,",I",8.0,",I",5.0,",I",19570812.0,",,I",70.6,",,I,12,",311.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BR002752005,1955-09,-27.31,-51.99,600.0,"CONCORDIA, BR",5.0,",I",4.0,",I",0.0,",I",19550905.0,",,I",18.8,",,I,05,",54.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BR002752006,1943-05,-27.85,-52.3,763.0,"EREBANGO, BR",9.0,",I",8.0,",I",4.0,",I",19430523.0,",,I",94.3,",,I,23,",312.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BR002752007,1957-08,-27.63,-52.27,700.0,"ERECHIM, BR",10.0,",I",10.0,",I",3.0,",I",19570810.0,",,I",39.0,",,I,10,",201.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,BR002752017,1976-06,-27.39,-52.45,350.0,"ITATIBA DO SUL, BR",10.0,",I",7.0,",I",1.0,",I",19760627.0,",,I",29.6,",,I,27,",84.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,BR002752021,1986-04,-27.59,-52.09,800.0,"GAURAMA, BR",2.0,",I",2.0,",I",0.0,",I",19860427.0,",,I",8.9,",,I,27,",16.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,BR002753004,1959-07,-27.81,-53.03,350.0,"LINHA CESCON, BR",6.0,",I",4.0,",I",0.0,",I",19590701.0,",,I",17.0,",,I,01,",49.7,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,BR002753006,1959-06,-27.07,-53.16,400.0,"PALMITOS, BR",4.0,",I",4.0,",I",1.0,",I",19590622.0,",,I",63.4,",,I,22,",99.7,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,BR002753013,1976-08,-27.0,-53.53,557.0,"IPORA, BR",3.0,",I",3.0,",I",0.0,",I",19760818.0,",,I",14.0,",,I,18,",29.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,BR002753014,1976-06,-27.6,-53.07,378.0,"LIBERATO SALZANO, BR",8.0,",I",5.0,",I",0.0,",I",19760627.0,",,I",20.6,",,I,27,",53.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,BR002753015,1976-09,-27.91,-53.31,610.0,"PALMEIRA DAS MISSOES, BR",9.0,",I",4.0,",I",3.0,",I",19760904.0,",,I",52.8,",,I,04,",116.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,BR002753016,1976-10,-27.5,-53.68,502.0,"MIRAGUAI, BR",8.0,",I",8.0,",I",5.0,",I",19761016.0,",,I",35.8,",,I,16,",193.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,BR002754001,1949-06,-27.3,-54.13,120.0,"ALTO URUGUAI, BR",7.0,",I",7.0,",I",0.0,",I",19490628.0,"+,,I",20.0,",,I,28,+",99.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,BR002754009,1976-08,-27.65,-54.44,120.0,"TUCUNDUVA, BR",7.0,",I",6.0,",I",0.0,",I",19760818.0,",,I",17.4,",,I,18,",55.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,BR002754010,1976-10,-27.97,-54.12,400.0,"ESQUINA ARAUJO, BR",8.0,",I",8.0,",I",1.0,",I",19761031.0,",,I",38.0,",,I,31,",129.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,BR002755001,1949-04,-27.85,-55.02,100.0,"PORTO LUCENA, BR",6.0,",I",5.0,",I",1.0,",I",19490424.0,",,I",40.0,",,I,24,",79.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,BR002848000,1945-11,-28.26,-49.01,21.0,"ARMAZEM CAPIVARI, BR",10.0,",I",6.0,",I",0.0,",I",19451106.0,",,I",13.2,",,I,06,",47.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,BR002848006,1976-04,-28.1,-48.92,190.0,"VARGEM DO CEDRO, BR",7.0,",I",3.0,",I",0.0,",I",19760406.0,",,I",13.2,",,I,06,",33.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,BR002848007,1976-09,-28.28,-48.7,5.0,"IMBITUBA, BR",5.0,",I",5.0,",I",2.0,",I",19760907.0,",,I",31.4,",,I,07,",114.0,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,BR002848009,1986-12,-28.16,-48.97,0.0,"SAO MARTINHO JUSANTE PCD, BR",12.0,",I",12.0,",I",1.0,",I",19861225.0,",,I",32.8,",,I,25,",184.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,BR002849000,1939-06,-28.42,-49.11,20.0,"RIO DO POUSO, BR",6.0,",I",5.0,",I",1.0,",I",19390628.0,",,I",26.0,",,I,28,",50.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,BR002849001,1939-05,-28.36,-49.29,90.0,"ORLEANS MONTANTE PCD, BR",11.0,",I",7.0,",I",2.0,",I",19390508.0,",,I",43.0,",,I,08,",136.0,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,BR002849002,1939-06,-28.33,-49.18,40.0,"SAO LUDGERO, BR",9.0,",I",6.0,",I",0.0,",I",19390628.0,",,I",24.2,",,I,28,",54.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,BR002849003,1942-04,-28.283,-49.917,1402.0,"S. JOAQUIM, BR",8.0,",I",7.0,",I",1.0,",I",19420407.0,",,I",30.3,",,I,07,",90.7,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,BR002849004,1945-12,-28.96,-49.6,10.0,"TAQUARUCU, BR",10.0,",I",7.0,",I",0.0,",I",19451205.0,",,I",15.8,",,I,05,",41.3,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,BR002849005,1942-06,-28.83,-49.64,80.0,"MELEIRO, BR",9.0,",I",4.0,",I",0.0,",I",19420618.0,",,I",9.3,",,I,18,",22.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,BR002849006,1945-12,-28.75,-49.47,40.0,"FORQUILHINHA, BR",12.0,",I",4.0,",I",1.0,",I",19451205.0,",,I",32.2,",,I,05,",57.0,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,BR002849007,1945-12,-28.18,-49.22,90.0,"GRAO PARA, BR",11.0,",I",11.0,",I",1.0,",I",19451217.0,",,I",34.5,",,I,17,",152.3,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,BR002849008,1945-12,-28.21,-49.19,40.0,"RIO PEQUENO, BR",10.0,",I",8.0,",I",0.0,",I",19451205.0,",,I",22.9,",,I,05,",89.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,BR002849009,1969-11,-28.33,-49.62,1200.0,"BOM JARDIM DA SERRA, BR",13.0,",I",12.0,",I",3.0,",I",19691115.0,",,I",35.4,",,I,15,",177.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,BR002849019,1976-05,-28.83,-49.84,115.0,"TIMBE DO SUL, BR",16.0,",I",14.0,",I",3.0,",I",19760513.0,",,I",94.3,",,I,13,",310.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,BR002849020,1976-04,-28.61,-49.03,10.0,"JAGUARUNA, BR",4.0,",I",3.0,",I",0.0,",I",19760406.0,",,I",13.0,",,I,06,",21.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,BR002849021,1943-08,-27.99,-49.58,997.0,"URUBICI, BR",4.0,",I",4.0,",I",0.0,",I",19430821.0,",,I",22.8,",,I,21,",60.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,BR002849022,1977-04,-28.72,-49.3,50.0,"ICARA, BR",5.0,",I",4.0,",I",0.0,",I",19770410.0,",,I",20.2,",,I,10,",44.7,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,BR002849023,1977-01,-28.37,-49.8,1080.0,"DESPRAIADO, BR",17.0,",I",12.0,",I",1.0,",I",19770103.0,",,I",48.0,",,I,03,",205.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,BR002849024,1978-01,-28.85,-49.59,15.0,"FOZ DO MANUEL ALVES, BR",11.0,",I",11.0,",I",0.0,",I",19780130.0,",,I",20.6,",,I,30,",148.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,BR002849027,1987-01,-28.47,-48.99,0.0,"TUBARAO PCD, BR",8.0,",I",8.0,",I",3.0,",I",19870113.0,",,I",66.9,",,I,13,",208.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,BR002849028,1986-12,-28.43,-49.18,0.0,"PEDRAS GRANDES, BR",17.0,",I",14.0,",I",0.0,",I",19861203.0,",,I",21.4,",,I,03,",122.0,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,BR002849029,1986-12,-28.61,-49.55,0.0,"SERRINHA, BR",23.0,",I",18.0,",I",4.0,",I",19861227.0,",,I",73.2,",,I,27,",262.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,BR002849030,1986-12,-28.24,-49.16,0.0,"BRACO DO NORTE MONTANTE, BR",15.0,",I",12.0,",I",1.0,",I",19861227.0,",,I",62.2,",,I,27,",158.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,BR002849031,1986-12,-28.05,-49.12,0.0,"SANTA ROSA DE LIMA, BR",15.0,",I",15.0,",I",0.0,",I",19861227.0,",,I",22.3,",,I,27,",168.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,BR002850004,1958-07,-28.15,-50.44,930.0,"COXILHA RICA, BR",6.0,",I",6.0,",I",2.0,",I",19580716.0,",,I",51.3,",,I,16,",146.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,BR002850006,1964-03,-28.45,-50.3,850.0,"INVERNADA VELHA, BR",9.0,",I",4.0,",I",0.0,",I",19640325.0,",,I",23.2,",,I,25,",81.2,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,BR002850008,1943-06,-28.21,-50.76,640.0,"PASSO SOCORRO PCD, BR",9.0,"3,I",7.0,"3,I",2.0,"3,I",19430624.0,",3,I",50.0,"3,,I,24,",131.9,"3,,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,BR002850009,1943-06,-28.87,-50.45,640.0,"PASSO TAINHAS, BR",10.0,",I",4.0,",I",0.0,",I",19430616.0,",,I",15.0,",,I,16,",42.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,BR002851003,1943-05,-28.85,-51.28,630.0,"ANTONIO PRADO, BR",9.0,",I",6.0,",I",2.0,",I",19430530.0,",,I",60.0,",,I,30,",152.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,BR002851021,1957-12,-28.87,-51.45,400.0,"PASSO DO PRATA, BR",9.0,",I",5.0,",I",0.0,",I",19571202.0,",,I",22.0,",,I,02,",64.1,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,BR002851022,1957-11,-28.62,-51.87,380.0,"PASSO MIGLIAVACA, BR",7.0,",I",6.0,",I",1.0,",I",19571112.0,",,I",28.0,",,I,12,",115.3,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,BR002851023,1957-11,-28.32,-51.33,800.0,"PONTE SANTA RITA, BR",4.0,",I",4.0,",I",0.0,",I",19571112.0,",,I",25.2,",,I,12,",77.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,BR002851024,1948-01,-28.77,-51.62,680.0,"PRATA, BR",7.0,",I",5.0,",I",0.0,",I",19480124.0,"+,,I",8.0,",,I,24,+",35.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,BR002851043,1978-01,-28.06,-51.19,974.0,"ESMERALDA, BR",10.0,",I",9.0,",I",3.0,",I",19780119.0,",,I",72.6,",,I,19,",221.6,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,BR002851044,1985-08,-28.84,-51.88,520.0,"GUAPORE, BR",14.0,",I",12.0,",I",4.0,",I",19850809.0,",,I",35.4,",,I,09,",217.9,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,BR002852006,1941-05,-28.29,-52.79,570.0,"CARAZINHO, BR",12.0,",I",10.0,",I",7.0,",I",19410505.0,",,I",62.7,",,I,05,",384.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,BR002852007,1944-01,-28.19,-52.75,593.0,"COLONIA XADREZ, BR",9.0,",I",8.0,",I",2.0,",I",19440112.0,",,I",43.2,",,I,12,",142.5,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,BR002852046,1976-10,-28.06,-52.0,672.0,"TAPEJARA, BR",10.0,",I",9.0,",I",3.0,",I",19761005.0,",,I",55.2,",,I,05,",182.8,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,BR002852050,1985-05,-28.46,-52.82,491.0,"NAO ME TOQUE, BR",10.0,",I",8.0,",I",2.0,",I",19850509.0,",,I",77.4,",,I,09,",187.4,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,BR002853003,1959-09,-28.45,-53.97,160.0,"CONCEICAO, BR",8.0,",I",7.0,",I",3.0,",I",19590926.0,",,I",76.2,",,I,26,",203.3,",,,I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
