,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES
10,US1NYOS0003,2007-10,43.443717,-76.40515,139.0,"OSWEGO 5.0 ESE, NY US",13.0,"2,N",9.0,"2,N",1.0,"2,N",0.0,"2,N",20071031.0,"+,2,N",20071024.0,",2,N",0.0,"2,,N,31,+",34.5,"2,,N,24,",96.9,"2,,,N",0.0,"2,,,N",,,,,,,,,,
11,US1NYOS0006,2008-08,43.465,-76.5194,75.9,"OSWEGO 0.9 WNW, NY US",10.0,"1,N",8.0,"1,N",2.0,"1,N",0.0,"1,N",20080831.0,"+,1,N",20080819.0,",1,N",0.0,"1,,N,31,+",48.3,"1,,N,19,",111.4,"1,,,N",0.0,"1,,,N",,,,,,,,,,
12,US1NYOS0008,2008-10,43.3323,-76.26663,140.2,"PHOENIX 7.1 NNE, NY US",,,,,,,,,,,,,,,,,220.1,"1,a,,N",,,,,,,,,,,,
13,US1NYOS0015,2009-07,43.397711,-76.479583,107.0,"MINETTO 0.1 SE, NY US",17.0,",N",8.0,",N",1.0,",N",,,,,20090712.0,",,N",,,27.7,",,N,12,",74.4,",,,N",,,,,,,,,,,,
14,US1NYOS0020,2010-12,43.3165,-76.41855,121.0,"FULTON 0.2 W, NY US",20.0,",N",9.0,",N",1.0,",N",17.0,",N",20101207.0,",,N",20101202.0,",,N",419.0,",,N,07,",64.5,",,N,02,",126.3,",,,N",2029.0,",,,N",30.0,",N",20101217.0,",,N",584.0,",,N,17,",,,,
15,US1NYOS0021,2014-07,43.569972,-76.119542,87.5,"PULASKI 0.5 NE, NY US",13.0,",N",11.0,",N",0.0,",N",,,,,20140727.0,",,N",,,22.9,",,N,27,",125.7,",,,N",,,,,,,,,,,,
16,US1NYOS0024,2012-05,43.42277778,-76.50861111,116.4,"OSWEGO 2.5 S, NY US",10.0,",N",7.0,",N",0.0,",N",0.0,",N",20120531.0,"+,,N",20120530.0,",,N",0.0,",,N,31,+",23.4,",,N,30,",78.6,",,,N",0.0,",,,N",,,,,,,,,,
17,US1NYOS0025,2012-10,43.3241491019726,-76.4177763462067,104.9,"FULTON 0.5 NNW, NY US",21.0,",N",14.0,",N",0.0,",N",,,,,20121006.0,",,N",,,21.3,",,N,06,",144.4,",,,N",,,,,,,,,,,,
18,US1NYOS0026,2013-01,43.4194,-76.2738,133.8,"MEXICO 3.6 SSW, NY US",,,,,,,7.0,",N",20130123.0,",,N",,,152.0,",,N,23,",,,,,632.0,",,,N",25.0,",N",20130102.0,",,N",470.0,",,N,02,",,,,
19,US1NYOT0001,2004-01,42.43094,-75.30471,548.6,"UNADILLA 7.2 N, NY US",1.0,",N",1.0,",N",0.0,",N",0.0,",N",20040131.0,"+,,N",20040103.0,",,N",0.0,",,N,31,+",8.1,",,N,03,",8.1,",,,N",0.0,",,,N",,,,,,,,,,
20,US1NYOT0002,2005-05,42.695157,-74.929993,374.9,"COOPERSTOWN 0.3 S, NY US",10.0,"3,N",3.0,"3,N",0.0,"3,N",,,,,20050515.0,",3,N",,,7.1,"3,,N,15,",20.9,"3,,,N",,,,,,,,,,,,
21,US1NYOT0003,2005-05,42.664433,-74.9587,359.1,"COOPERSTOWN 2.8 SSW, NY US",12.0,",N",7.0,",N",0.0,",N",,,,,20050515.0,",,N",,,8.6,",,N,15,",39.9,",,,N",,,,,,,,,,,,
22,US1NYOT0004,2007-12,42.816667,-75.233333,323.1,"BRIDGEWATER 4.3 SSE, NY US",,,,,,,10.0,"5,N",20071231.0,",5,N",,,145.0,"5,,N,31,",,,,,739.0,"5,,,N",25.0,"5,N",20071218.0,",5,N",305.0,"5,,N,18,",,,,
23,US1NYOT0008,2007-11,42.32348,-75.36435,315.2,"SIDNEY 2.1 NE, NY US",,,,,,,,,,,,,,,,,101.5,"3,a,,N",,,,,,,,,,,,
24,US1NYOT0009,2007-12,42.85251,-74.97748,411.5,"RICHFIELD SPRINGS 0.5 ESE, NY US",22.0,"1,N",12.0,"1,N",1.0,"1,N",10.0,"1,N",20071231.0,",1,N",20071216.0,",1,N",203.0,"1,,N,31,",26.9,"1,,N,16,",130.2,"1,,,N",1031.0,"1,,,N",30.0,"1,N",20071218.0,",1,N",406.0,"1,,N,18,",,,,
25,US1NYOT0011,2008-09,42.6599,-75.05,406.9,"HARTWICK, NY US",10.0,"4,N",8.0,"4,N",0.0,"4,N",0.0,"5,N",20080930.0,"+,5,N",20080929.0,",4,N",0.0,"5,,N,30,+",12.2,"4,,N,29,",60.0,"4,,,N",0.0,"5,,,N",,,,,,,,,,
26,US1NYOT0013,2009-12,42.6332375,-75.3195499,345.3,"NEW BERLIN 1.0 NE, NY US",15.0,",N",7.0,",N",1.0,",N",,,,,20091209.0,",,N",,,38.1,",,N,09,",90.5,",,,N",,,,,,,,,,,,
27,US1NYOT0014,2010-01,42.544,-74.7657,512.1,"WORCESTER 4.0 SSW, NY US",15.0,"4,N",5.0,"4,N",0.0,"4,N",9.0,"4,N",20100102.0,",4,N",20100126.0,",4,N",76.0,"4,,N,02,",24.9,"4,,N,26,",74.2,"2,a,,N",527.0,"4,,,N",,,,,,,,,,
28,US1NYOT0018,2011-11,42.7172,-74.7583,404.8,"CHERRY VALLEY 5.6 S, NY US",8.0,",N",7.0,",N",1.0,",N",1.0,"3,N",20111112.0,",3,N",20111123.0,",,N",79.0,"3,,N,12,",32.0,",,N,23,",76.0,",,,N",84.0,"3,,,N",,,,,,,,,,
29,US1NYOT0022,2013-10,42.628508,-75.024874,455.1,"MILFORD 4.8 NW, NY US",8.0,"3,N",3.0,"3,N",0.0,"3,N",,,,,20131008.0,",3,N",,,13.7,"3,,N,08,",49.8,",a,,N",,,,,,,,,,,,
30,US1NYOT0024,2014-06,42.6222496032715,-74.6733169555664,443.2,"EAST WORCESTER 0.1 SW, NY US",9.0,"1,N",7.0,"1,N",2.0,"1,N",,,,,20140618.0,",1,N",,,33.0,"1,,N,18,",135.2,"1,,,N",,,,,,,,,,,,
31,US1NYOT0025,2016-02,42.521663,-75.195987,519.4,"LAURENS 5.5 W, NY US",15.0,"4,N",6.0,"4,N",1.0,"4,N",4.0,"4,N",20160210.0,"+,4,N",20160225.0,",4,N",41.0,"4,,N,10,+",39.9,"4,,N,25,",113.9,"1,a,,N",224.0,"4,,,N",,,,,,,,,,
32,US1NYOT0026,2016-04,42.796397,-74.965803,474.6,"RICHFIELD SPRINGS 4.1 SSE, NY US",12.0,",N",8.0,",N",1.0,",N",,,,,20160408.0,",,N",,,32.0,",,N,08,",91.7,",,,N",,,,,,,,,,,,
33,US1NYOT0029,2018-04,42.636893,-75.310903,364.5,"NEW BERLIN 1.5 NE, NY US",16.0,"4,N",9.0,"4,N",0.0,"4,N",,,,,20180417.0,",4,N",,,18.3,"4,,N,17,",89.6,"4,,,N",,,,,,,,,,,,
34,US1NYOT0030,2018-06,42.561726,-75.072693,425.8,"MOUNT VISION 1.4 SW, NY US",13.0,"1,N",10.0,"1,N",0.0,"1,N",,,,,20180628.0,",1,N",,,20.1,"1,,N,28,",78.1,"1,,,N",,,,,,,,,,,,
35,US1NYOT0031,2020-08,42.5331,-74.9209,496.8,"MARYLAND 1.8 W, NY US",13.0,"4,N",12.0,"4,N",2.0,"4,N",,,,,20200805.0,",4,N",,,51.8,"4,,N,05,",163.9,"4,,,N",,,,,,,,,,,,
36,US1NYOT0035,2021-08,42.79,-74.961,450.8,"RICHFIELD SPRINGS 4.6 SSE, NY US",12.0,",N",9.0,",N",1.0,",N",,,,,20210819.0,",,N",,,34.0,",,N,19,",99.8,",,,N",,,,,,,,,,,,
37,US1NYOT0036,2022-10,42.589167,-74.922778,360.0,"MILFORD 1.2 E, NY US",4.0,"3,N",1.0,"3,N",0.0,"3,N",,,,,20221014.0,",3,N",,,11.7,"3,,N,14,",17.1,"3,,,N",,,,,,,,,,,,
38,US1NYPT0001,2008-04,41.496871,-73.701681,249.0,"CARMEL HAMLET 5.8 N, NY US",12.0,"1,N",6.0,"1,N",1.0,"1,N",0.0,"1,N",20080430.0,"+,1,N",20080429.0,",1,N",0.0,"1,,N,30,+",26.7,"1,,N,29,",76.4,"1,,,N",0.0,"1,,,N",,,,,,,,,,
39,US1NYPT0002,2008-05,41.4807,-73.8911,260.3,"BEACON 4.2 ESE, NY US",15.0,"1,N",9.0,"1,N",1.0,"1,N",0.0,"1,N",20080531.0,"+,1,N",20080517.0,",1,N",0.0,"1,,N,31,+",26.7,"1,,N,17,",73.4,"1,,,N",0.0,"1,,,N",,,,,,,,,,
40,US1NYPT0004,2008-12,41.496961,-73.836911,137.5,"COLD SPRING 8.1 NE, NY US",14.0,"3,N",9.0,"3,N",2.0,"3,N",,,,,20081212.0,",3,N",,,80.3,"3,,N,12,",187.3,"3,,,N",,,,,,,,,,,,
41,US1NYPT0008,2018-07,41.352874,-73.784145,191.1,"MAHOPAC 2.5 WSW, NY US",12.0,",N",11.0,",N",2.0,",N",,,,,20180718.0,",,N",,,30.2,",,N,18,",172.0,",,,N",,,,,,,,,,,,
42,US1NYPT0011,2018-11,41.40388,-73.61638,154.2,"BREWSTER 0.5 N, NY US",,,,,,,,,,,,,,,,,119.9,"4,a,,N",,,,,,,,,,,,
43,US1NYQN0002,2011-11,40.714521,-73.881893,32.3,"MIDDLE VILLAGE 0.5 SW, NY US",9.0,"2,N",6.0,"2,N",1.0,"2,N",,,,,20111123.0,",2,N",,,35.6,"2,,N,23,",70.4,"2,,,N",,,,,,,,,,,,
44,US1NYQN0026,2017-10,40.754411,-73.888164,18.0,"JACKSON HEIGHTS 0.3 WSW, NY US",,,,,,,,,,,,,,,,,110.3,"2,a,,N",,,,,,,,,,,,
45,US1NYQN0027,2017-08,40.778064,-73.810581,18.0,"QUEENS 3.4 NNW, NY US",,,,,,,,,,,,,,,,,113.1,",a,,N",,,,,,,,,,,,
46,US1NYQN0029,2019-01,40.748246,-73.765371,24.7,"QUEENS 2.1 NE, NY US",,,,,,,,,,,,,,,,,143.0,"5,a,,N",,,,,,,,,,,,
47,US1NYQN0033,2020-03,40.662099,-73.841345,2.1,"HOWARD BEACH 0.4 NNW, NY US",12.0,",N",8.0,",N",2.0,",N",,,,,20200324.0,",,N",,,43.7,",,N,24,",127.7,",,,N",,,,,,,,,,,,
48,US1NYQN0036,2020-07,40.671889,-73.845023,6.7,"QUEENS 4.7 SW, NY US",11.0,"1,N",8.0,"1,N",2.0,"1,N",,,,,20200711.0,",1,N",,,53.8,"1,,N,11,",146.3,"1,,,N",,,,,,,,,,,,
49,US1NYQN0037,2020-07,40.78003,-73.81034,19.8,"QUEENS 3.7 N, NY US",10.0,"4,N",5.0,"4,N",2.0,"4,N",,,,,20200731.0,",4,N",,,40.9,"4,,N,31,",112.7,"4,,,N",,,,,,,,,,,,
50,US1NYQN0039,2021-06,40.7589466,-73.7289427,69.2,"LITTLE NECK 0.3 SE, NY US",8.0,",N",5.0,",N",0.0,",N",,,,,20210623.0,",,N",,,10.2,",,N,23,",42.2,",,,N",,,,,,,,,,,,
51,US1NYRC0001,2009-07,40.542096,-74.147558,10.7,"STATEN ISLAND 4.5 SSE, NY US",11.0,",N",8.0,",N",0.0,",N",,,,,20090721.0,",,N",,,23.4,",,N,21,",88.6,",,,N",,,,,,,,,,,,
52,US1NYRC0002,2011-09,40.567385,-74.132695,21.9,"STATEN ISLAND 1.4 SE, NY US",12.0,"2,N",5.0,"2,N",3.0,"2,N",,,,,20110924.0,",2,N",,,67.3,"2,,N,24,",181.1,",a,,N",,,,,,,,,,,,
53,US1NYRC0016,2020-12,40.615654,-74.145561,11.3,"STATEN ISLAND 2.6 N, NY US",11.0,"3,N",8.0,"3,N",3.0,"3,N",,,,,20201225.0,",3,N",,,32.5,"3,,N,25,",117.4,"3,,,N",,,,,,,,,,,,
54,US1NYRL0001,2008-04,41.077416,-74.054742,135.0,"CHESTNUT RIDGE 0.3 SSW, NY US",,,,,,,,,,,,,,,,,55.2,"5,a,,N",,,,,,,,,,,,
55,US1NYRL0003,2009-07,41.095511,-74.009897,86.3,"NANUET 0.3 E, NY US",18.0,",N",12.0,",N",1.0,",N",,,,,20090722.0,",,N",,,30.0,",,N,22,",150.6,",,,N",,,,,,,,,,,,
56,US1NYRL0005,2012-04,41.0835456848145,-73.9930267333984,81.7,"WEST NYACK 1.3 WSW, NY US",7.0,",N",4.0,",N",1.0,",N",,,,,20120423.0,",,N",,,59.2,",,N,23,",80.8,",,,N",,,,,,,,,,,,
57,US1NYRL0008,2020-04,41.2349,-74.0079,42.7,"STONY POINT 0.7 NW, NY US",15.0,"1,N",9.0,"1,N",1.0,"1,N",0.0,"1,N",20200430.0,"+,1,N",20200414.0,",1,N",0.0,"1,,N,30,+",29.0,"1,,N,14,",100.5,"1,,,N",0.0,"1,,,N",0.0,"1,N",20200430.0,"+,1,N",0.0,"1,,N,30,+",,,,
58,US1NYRL0011,2022-10,41.143928,-74.040828,175.0,"NEW HEMPSTEAD 0.6 SE, NY US",11.0,"1,N",8.0,"1,N",1.0,"1,N",,,,,20221005.0,",1,N",,,31.8,"1,,N,05,",121.6,"1,,,N",,,,,,,,,,,,
59,US1NYRL0013,2023-03,41.0916807,-74.0593445,160.6,"SPRING VALLEY 1.7 SSW, NY US",,,,,,,,,,,,,,,,,76.3,",a,,N",,,,,,,,,,,,
60,US1NYRN0001,2007-11,42.6391,-73.5698,192.9,"AVERILL PARK 0.9 WNW, NY US",15.0,",N",11.0,",N",0.0,",N",0.0,",N",20071121.0,",,N",20071115.0,",,N",8.0,",,N,21,",24.9,",,N,15,",97.1,",,,N",14.0,",,,N",,,,,,,,,,
61,US1NYRN0002,2010-04,42.6397,-73.5715,193.9,"AVERILL PARK 1.0 WNW, NY US",9.0,"5,N",6.0,"5,N",0.0,"5,N",0.0,"5,N",20100428.0,",5,N",20100409.0,",5,N",0.0,"5,T,N,28,",11.9,"5,,N,09,",39.0,"5,,,N",0.0,"5,T,,N",0.0,"5,N",20100430.0,"+,5,N",0.0,"5,,N,30,+",,,,
62,US1NYRN0003,2011-09,42.877953,-73.535523,182.0,"VALLEY FALLS 2.1 SE, NY US",15.0,"2,N",13.0,"2,N",4.0,"2,N",,,,,20110908.0,",2,N",,,35.3,"2,,N,08,",206.7,"2,,,N",,,,,,,,,,,,
63,US1NYRN0004,2011-11,42.8962,-73.353843,141.4,"HOOSICK FALLS 0.3 SSW, NY US",7.0,"3,N",4.0,"3,N",1.0,"3,N",,,,,20111123.0,",3,N",,,32.0,"3,,N,23,",53.1,"3,,,N",,,,,,,,,,,,
64,US1NYRN0005,2013-06,42.773029,-73.637435,163.7,"TROY 3.3 NE, NY US",16.0,"3,N",12.0,"3,N",2.0,"3,N",,,,,20130614.0,",3,N",,,36.8,"3,,N,14,",186.0,"3,,,N",,,,,,,,,,,,
65,US1NYRN0007,2013-06,42.528416,-73.74762,49.4,"CASTLETON ON HUDSON 0.3 SSE, NY US",15.0,",N",10.0,",N",5.0,",N",,,,,20130614.0,",,N",,,42.4,",,N,14,",239.0,",,,N",,,,,,,,,,,,
66,US1NYRN0013,2016-06,42.79035,-73.56226,209.7,"TROY 6.9 NE, NY US",8.0,"1,N",4.0,"1,N",0.0,"1,N",,,,,20160629.0,",1,N",,,21.3,"1,,N,29,",66.0,"1,,,N",,,,,,,,,,,,
67,US1NYRN0014,2016-07,42.6665725708008,-73.642692565918,177.1,"WYANTSKILL 1.6 SSE, NY US",12.0,",N",8.0,",N",1.0,",N",,,,,20160731.0,",,N",,,29.0,",,N,31,",88.9,",,,N",,,,,,,,,,,,
68,US1NYRN0015,2016-09,42.735585,-73.662524,132.3,"TROY 0.7 E, NY US",9.0,",N",5.0,",N",0.0,",N",,,,,20160919.0,",,N",,,25.1,",,N,19,",61.2,",,,N",,,,,,,,,,,,
69,US1NYRN0020,2017-05,42.759301,-73.65283,135.9,"TROY 2.1 NNE, NY US",17.0,",N",14.0,",N",0.0,",N",0.0,",N",20170531.0,"+,,N",20170514.0,",,N",0.0,",,N,31,+",21.8,",,N,14,",162.8,",,,N",0.0,",,,N",0.0,",N",20170531.0,"+,,N",0.0,",,N,31,+",,,,
70,US1NYRN0023,2018-09,42.663699,-73.687678,114.0,"WYANTSKILL 2.6 SW, NY US",13.0,",N",7.0,",N",1.0,",N",,,,,20180918.0,",,N",,,65.8,",,N,18,",146.8,",,,N",,,,,,,,,,,,
71,US1NYRN0024,2018-03,42.490918,-73.534627,152.7,"NASSAU 4.2 ESE, NY US",13.0,",N",5.0,",N",1.0,",N",6.0,",N",20180308.0,",,N",20180308.0,",,N",378.0,",,N,08,",36.1,",,N,08,",100.1,",,,N",833.0,",,,N",28.0,",N",20180308.0,",,N",417.0,",,N,08,",,,,
72,US1NYRN0028,2020-06,42.516059,-73.423188,229.2,"STEPHENTOWN 3.4 SW, NY US",10.0,"2,N",6.0,"2,N",0.0,"2,N",,,,,20200612.0,",2,N",,,23.6,"2,,N,12,",83.9,",a,,N",,,,,,,,,,,,
73,US1NYRN0029,2020-07,42.54687,-73.46809,337.1,"AVERILL PARK 7.5 SE, NY US",,,,,,,,,,,,,,,,,101.5,"4,a,,N",,,,,,,,,,,,
74,US1NYRN0034,2023-05,42.6447,-73.5725,196.6,"AVERILL PARK HIGH SCHOOL AVERILL PARK 1.2 NW, NY US",,,,,,,,,,,,,,,,,20.6,"4,a,,N",,,,,,,,,,,,
75,US1NYRN0038,2023-04,42.687601,-73.54732,232.0,"POESTENKILL 1.0 ESE, NY US",11.0,",N",7.0,",N",0.0,",N",,,,,20230424.0,",,N",,,20.8,",,N,24,",83.3,",,,N",,,,,,,,,,,,
76,US1NYSC0001,2007-10,42.781735,-74.170769,392.9,"DELANSON 2.5 NNE, NY US",13.0,",N",8.0,",N",0.0,",N",0.0,",N",20071031.0,"+,,N",20071020.0,",,N",0.0,",,N,31,+",17.0,",,N,20,",106.4,",,,N",0.0,",,,N",,,,,,,,,,
77,US1NYSC0002,2008-10,42.844727,-73.974841,83.5,"SCOTIA 1.1 NW, NY US",11.0,"1,N",8.0,"1,N",2.0,"1,N",0.0,"1,N",20081031.0,"+,1,N",20081026.0,",1,N",0.0,"1,,N,31,+",50.8,"1,,N,26,",149.5,"1,,,N",0.0,"1,,,N",,,,,,,,,,
78,US1NYSC0011,2009-10,42.79382,-73.863886,100.6,"SCHENECTADY 3.3 E, NY US",11.0,",N",9.0,",N",1.0,",N",,,,,20091029.0,",,N",,,26.7,",,N,29,",106.4,",,,N",,,,,,,,,,,,
79,US1NYSC0016,2013-06,42.846449,-73.899173,82.9,"NISKAYUNA 2.0 N, NY US",15.0,"1,N",9.0,"1,N",3.0,"1,N",,,,,20130611.0,",1,N",,,41.4,"1,,N,11,",209.5,"1,,,N",,,,,,,,,,,,
80,US1NYSC0017,2013-08,42.831642,-74.115236,389.2,"PATTERSONVILLE 4.2 SSW, NY US",10.0,"3,N",6.0,"3,N",1.0,"3,N",,,,,20130814.0,",3,N",,,26.4,"3,,N,14,",96.6,"1,a,,N",,,,,,,,,,,,
81,US1NYSC0020,2017-08,42.788626,-73.966719,102.1,"ROTTERDAM 0.9 NW, NY US",8.0,"2,N",4.0,"2,N",0.0,"2,N",,,,,20170813.0,",2,N",,,20.3,"2,,N,13,",54.8,",a,,N",,,,,,,,,,,,
82,US1NYSC0025,2019-10,42.765023,-73.942937,108.8,"SCHENECTADY 2.7 SSW, NY US",14.0,"1,N",10.0,"1,N",2.0,"1,N",,,,,20191017.0,",1,N",,,36.3,"1,,N,17,",176.8,"1,,,N",,,,,,,,,,,,
83,US1NYSC0026,2019-05,42.81078,-73.89764,125.9,"NISKAYUNA 0.4 S, NY US",23.0,"3,N",12.0,"3,N",0.0,"3,N",,,,,20190514.0,",3,N",,,18.3,"3,,N,14,",90.8,"3,,,N",,,,,,,,,,,,
84,US1NYSC0027,2019-11,42.779114,-73.872421,114.0,"NISKAYUNA 2.9 SSE, NY US",12.0,",N",7.0,",N",0.0,",N",,,,,20191119.0,",,N",,,21.6,",,N,19,",63.4,",,,N",,,,,,,,,,,,
85,US1NYSC0029,2020-07,42.815191,-73.902583,125.0,"SCHENECTADY 1.6 NE, NY US",14.0,"3,N",8.0,"3,N",3.0,"3,N",,,,,20200701.0,",3,N",,,35.3,"3,,N,01,",179.5,",a,,N",,,,,,,,,,,,
86,US1NYSC0030,2021-01,42.934625,-74.065023,214.6,"AMSTERDAM 6.4 E, NY US",12.0,",N",5.0,",N",0.0,",N",6.0,",N",20210127.0,",,N",20210102.0,",,N",140.0,",,N,27,",23.1,",,N,02,",64.5,",,,N",450.0,",,,N",,,,,,,,,,
87,US1NYSC0031,2021-02,42.824535,-73.887249,119.8,"NISKAYUNA 0.7 NE, NY US",,,,,,,6.0,"5,N",20210202.0,",5,N",,,231.0,"5,,N,02,",,,,,498.0,"5,,,N",,,,,,,,,,
88,US1NYSC0032,2021-02,42.813476,-73.902739,121.3,"SCHENECTADY 1.5 ENE, NY US",8.0,"2,N",5.0,"2,N",0.0,"2,N",6.0,"3,N",20210202.0,",3,N",20210216.0,",2,N",150.0,"3,,N,02,",20.3,"2,,N,16,",45.6,"2,,,N",346.0,"3,,,N",26.0,"2,N",20210223.0,"+,2,N",279.0,"2,,N,23,+",,,,
89,US1NYSF0002,2007-12,40.93,-72.67,13.1,"RIVERHEAD 1.3 SSE, NY US",12.0,"5,N",8.0,"5,N",0.0,"5,N",0.0,"5,N",20071214.0,",5,N",20071217.0,"+,5,N",20.0,"5,,N,14,",21.3,"5,,N,17,+",112.0,"5,,,N",43.0,"5,,,N",,,,,,,,,,
90,US1NYSF0003,2007-12,40.880602,-72.929204,25.0,"MIDDLE ISLAND 0.8 ESE, NY US",13.0,"5,N",7.0,"5,N",0.0,"5,N",1.0,"5,N",20071214.0,",5,N",20071214.0,",5,N",43.0,"5,,N,14,",21.8,"5,,N,14,",98.0,"5,,,N",59.0,"5,,,N",,,,,,,,,,
91,US1NYSF0007,2007-12,40.93639,-72.57778,6.1,"JAMESPORT 0.6 SSW, NY US",11.0,"1,N",8.0,"1,N",0.0,"1,N",2.0,"1,N",20071214.0,",1,N",20071216.0,",1,N",38.0,"1,,N,14,",15.2,"1,,N,16,",89.5,"1,,,N",63.0,"1,,,N",,,,,,,,,,
92,US1NYSF0016,2008-08,40.9234,-73.3305,25.6,"NORTHPORT 1.6 NNE, NY US",10.0,"2,N",8.0,"2,N",1.0,"2,N",0.0,"2,N",20080831.0,"+,2,N",20080816.0,",2,N",0.0,"2,,N,31,+",52.3,"2,,N,16,",155.4,"2,,,N",0.0,"2,,,N",,,,,,,,,,
93,US1NYSF0017,2009-03,40.735077,-73.221241,4.3,"ISLIP 0.2 NW, NY US",10.0,"4,N",8.0,"4,N",0.0,"4,N",,,,,20090329.0,",4,N",,,23.1,"4,,N,29,",72.6,"4,,,N",,,,,,,,,,,,
94,US1NYSF0018,2011-11,40.9299,-72.8988,34.4,"SHOREHAM 1.8 SSE, NY US",8.0,",N",7.0,",N",1.0,",N",,,,,20111123.0,",,N",,,26.7,",,N,23,",85.5,",,,N",,,,,,,,,,,,
95,US1NYSF0019,2009-07,40.8122876,-72.771788,12.8,"EAST MORICHES 0.6 WNW, NY US",6.0,"3,N",6.0,"3,N",2.0,"3,N",,,,,20090724.0,",3,N",,,70.9,"3,,N,24,",137.0,"3,,,N",,,,,,,,,,,,
96,US1NYSF0024,2011-12,40.798232,-73.150036,20.1,"RONKONKOMA 1.4 WSW, NY US",10.0,"1,N",5.0,"1,N",1.0,"1,N",,,,,20111208.0,",1,N",,,37.8,"1,,N,08,",82.6,"1,,,N",,,,,,,,,,,,
97,US1NYSF0030,2013-10,40.956185,-72.9196809,60.0,"ROCKY POINT 2.0 N, NY US",5.0,"5,N",0.0,"5,N",0.0,"5,N",,,,,20131020.0,",5,N",,,2.0,"5,,N,20,",3.9,"5,,,N",,,,,,,,,,,,
